date,views,visits,Link clicks,interactions,reach
02-04-2022,3,8,8,1,1
02-05-2022,4,1,9,9,9
02-06-2022,6,8,4,5,7
02-07-2022,1,5,6,7,2
02-08-2022,5,8,3,6,5
02-09-2022,1,5,5,9,5
02-10-2022,6,6,6,6,7
02-11-2022,6,9,8,5,4
02-12-2022,6,3,5,6,7
02-13-2022,7,7,9,2,4
02-14-2022,9,9,9,3,8
02-15-2022,3,2,6,2,7
02-16-2022,1,8,4,4,6
02-17-2022,3,2,6,9,2
02-18-2022,4,1,1,1,5
02-19-2022,9,3,9,9,6
02-20-2022,6,8,3,5,7
02-21-2022,4,1,3,7,6
02-22-2022,1,7,6,9,1
02-23-2022,7,5,9,9,9
02-24-2022,7,1,9,8,7
02-25-2022,2,7,7,1,8
02-26-2022,6,7,9,5,7
02-27-2022,2,7,8,2,9
02-28-2022,8,2,4,9,7
03-01-2022,3,2,4,9,5
03-02-2022,3,9,8,9,6
03-03-2022,8,9,9,4,5
03-04-2022,9,6,7,5,5
03-05-2022,6,1,8,6,4
03-06-2022,9,8,3,2,6
03-07-2022,9,5,4,7,1
03-08-2022,4,6,8,3,1
03-09-2022,9,2,9,9,9
03-10-2022,9,1,1,9,4
03-11-2022,5,9,6,7,6
03-12-2022,8,8,1,7,4
03-13-2022,5,1,3,5,6
03-14-2022,4,6,1,3,6
03-15-2022,6,1,6,2,9
03-16-2022,5,5,2,2,6
03-17-2022,4,7,8,4,9
03-18-2022,5,4,2,1,5
03-19-2022,8,3,9,9,6
03-20-2022,8,2,1,5,9
03-21-2022,5,5,9,1,3
03-22-2022,3,3,3,6,5
03-23-2022,5,6,7,2,2
03-24-2022,3,3,1,1,4
03-25-2022,2,6,4,9,7
03-26-2022,2,9,1,2,4
03-27-2022,3,7,1,3,6
03-28-2022,1,2,7,9,8
03-29-2022,3,2,9,5,3
03-30-2022,5,5,8,5,4
03-31-2022,9,2,6,6,1
04-01-2022,3,5,9,7,7
04-02-2022,9,7,8,1,8
04-03-2022,3,5,8,5,6
04-04-2022,8,4,2,7,6
04-05-2022,7,1,7,1,8
04-06-2022,7,5,2,8,7
04-07-2022,1,8,3,6,3
04-08-2022,1,8,1,2,4
04-09-2022,2,3,2,1,1
04-10-2022,7,5,7,4,9
04-11-2022,6,8,1,9,6
04-12-2022,3,4,6,4,3
04-13-2022,6,5,8,9,1
04-14-2022,8,6,3,3,7
04-15-2022,9,8,7,8,4
04-16-2022,7,8,2,4,5
