date,value
2025-01-01,2
2025-01-02,5
2025-01-03,0
2025-01-04,2
2025-01-05,1
2025-01-06,2
2025-01-07,2
2025-01-08,2
2025-01-09,1
2025-01-10,2
2025-01-11,0
2025-01-12,3
2025-01-13,2
2025-01-14,1
2025-01-15,2
2025-01-16,1
2025-01-17,4
2025-01-18,0
2025-01-19,0
2025-01-20,1
2025-01-21,0
2025-01-22,1
2025-01-23,2
2025-01-24,1
2025-01-25,1
2025-01-26,1
2025-01-27,1
2025-01-28,1
2025-01-29,1
2025-01-30,0
2025-01-31,1
2025-02-01,3
2025-02-02,3
2025-02-03,0
2025-02-04,2
2025-02-05,0
2025-02-06,3
2025-02-07,1
2025-02-08,2
2025-02-09,0
2025-02-10,2
2025-02-11,4
2025-02-12,5
2025-02-13,10
2025-02-14,0
2025-02-15,3
2025-02-16,1
2025-02-17,2
2025-02-18,1
2025-02-19,1
2025-02-20,3
2025-02-21,3
2025-02-22,2
2025-02-23,3
2025-02-24,1
2025-02-25,0
2025-02-26,0
2025-02-27,0
2025-02-28,1
2025-03-01,1
2025-03-02,1
2025-03-03,2
2025-03-04,0
2025-03-05,1
2025-03-06,0
2025-03-07,2
2025-03-08,2
2025-03-09,1
2025-03-10,2
2025-03-11,0
2025-03-12,2
2025-03-13,0
2025-03-14,3
2025-03-15,2
2025-03-16,1
2025-03-17,4
2025-03-18,8
2025-03-19,7
2025-03-20,2
2025-03-21,2
2025-03-22,1
2025-03-23,0
2025-03-24,2
2025-03-25,3
2025-03-26,4
2025-03-27,2
2025-03-28,2
2025-03-29,3
2025-03-30,1
2025-03-31,1
2025-04-01,0
2025-04-02,0
2025-04-03,1
2025-04-04,1
2025-04-05,3
2025-04-06,5
2025-04-07,1
2025-04-08,4
2025-04-09,2
2025-04-10,15
2025-04-11,6
2025-04-12,4
2025-04-13,3
2025-04-14,5
2025-04-15,10
2025-04-16,3
2025-04-17,4
2025-04-18,6
2025-04-19,3
2025-04-20,1
2025-04-21,2
2025-04-22,2
2025-04-23,0
2025-04-24,1
2025-04-25,1
2025-04-26,4
2025-04-27,0
2025-04-28,4
2025-04-29,5
2025-04-30,4
2025-05-01,2
2025-05-02,8
2025-05-03,4
2025-05-04,2
2025-05-05,3
2025-05-06,1
2025-05-07,1
2025-05-08,1
2025-05-09,1
2025-05-10,1
2025-05-11,1
2025-05-12,2
2025-05-13,2
2025-01-01,11
2025-01-02,26
2025-01-03,13
2025-01-06,18
2025-01-07,41
2025-01-08,37
2025-01-09,11
2025-01-10,46
2025-01-11,3
2025-01-12,0
2025-01-13,17
2025-01-14,77
2025-01-15,64
2025-01-16,15
2025-01-17,6
2025-01-19,4
2025-01-20,23
2025-01-21,17
2025-01-22,16
2025-01-23,28
2025-01-24,34
2025-01-25,28
2025-01-27,11
2025-01-28,17
2025-01-29,21
2025-01-30,27
2025-01-31,11
2025-02-01,0
2025-02-02,0
2025-02-03,21
2025-02-04,63
2025-02-05,36
2025-02-06,17
2025-02-07,56
2025-02-08,5
2025-02-09,1
2025-02-10,29
2025-02-11,32
2025-02-12,43
2025-02-13,41
2025-02-14,49
2025-02-16,0
2025-02-17,57
2025-02-18,39
2025-02-19,20
2025-02-20,32
2025-02-21,26
2025-02-22,4
2025-02-23,0
2025-02-24,53
2025-02-25,14
2025-02-26,31
2025-02-27,19
2025-02-28,41
2025-03-01,5
2025-03-02,2
2025-03-03,8
2025-03-04,19
2025-03-05,24
2025-03-06,44
2025-03-07,24
2025-03-08,1
2025-03-09,0
2025-03-10,41
2025-03-11,20
2025-03-12,62
2025-03-13,32
2025-03-14,42
2025-03-15,4
2025-03-16,3
2025-03-17,64
2025-03-18,33
2025-03-19,18
2025-03-20,24
2025-03-21,33
2025-03-22,3
2025-03-23,1
2025-03-24,13
2025-03-25,16
2025-03-26,33
2025-03-27,298
2025-03-28,55
2025-03-29,14
2025-03-30,27
2025-03-31,3
2025-04-01,1
2025-04-02,3
2025-04-03,47
2025-04-04,15
2025-04-05,0
2025-04-06,1
2025-04-07,51
2025-04-08,35
2025-04-09,11
2025-04-10,5
2025-04-11,0
2025-04-12,0
2025-04-13,0
2025-04-14,19
2025-04-15,43
2025-04-16,22
2025-04-17,52
2025-04-18,17
2025-04-19,0
2025-04-20,0
2025-04-21,46
2025-04-22,19
2025-04-23,11
2025-04-25,0
2025-04-26,0
2025-04-27,2
2025-04-28,2
2025-04-29,44
2025-04-30,11
2025-05-01,9
2025-05-02,309
2025-05-03,43
2025-05-04,40
2025-05-05,13
2025-05-06,7
2025-05-07,70
2025-05-08,13
2025-05-11,4
2025-05-12,17
2025-05-13,8
2025-01-01,0
2025-01-02,0
2025-01-04,0
2025-01-05,0
2025-01-06,0
2025-01-07,0
2025-01-08,1
2025-01-09,0
2025-01-10,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-17,0
2025-01-20,0
2025-01-22,0
2025-01-23,0
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,0
2025-01-28,0
2025-01-29,0
2025-01-31,0
2025-02-04,0
2025-02-05,1
2025-02-06,0
2025-02-07,0
2025-02-08,0
2025-02-10,66
2025-02-11,91
2025-02-12,94
2025-02-13,95
2025-02-14,24
2025-02-15,0
2025-02-17,0
2025-02-18,0
2025-02-19,0
2025-02-20,0
2025-02-21,0
2025-02-22,0
2025-02-24,0
2025-02-28,0
2025-03-01,0
2025-03-02,0
2025-03-03,0
2025-03-05,0
2025-03-07,0
2025-03-08,0
2025-03-10,0
2025-03-12,0
2025-03-14,0
2025-03-15,0
2025-03-16,0
2025-03-17,63
2025-03-18,60
2025-03-19,63
2025-03-20,100
2025-03-21,135
2025-03-22,7
2025-03-24,0
2025-03-25,0
2025-03-26,0
2025-03-27,0
2025-03-28,0
2025-03-29,0
2025-03-30,0
2025-03-31,0
2025-04-01,2
2025-04-03,0
2025-04-06,0
2025-04-07,0
2025-04-08,0
2025-04-09,0
2025-04-10,0
2025-04-14,0
2025-04-15,74
2025-04-16,54
2025-04-17,39
2025-04-18,56
2025-04-21,0
2025-04-22,0
2025-04-24,0
2025-04-28,0
2025-04-29,0
2025-04-30,0
2025-05-01,0
2025-05-02,0
2025-05-03,0
2025-05-04,1
2025-05-05,0
2025-05-06,0
2025-05-07,0
2025-05-08,0
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,0
2025-01-01,565
2025-01-02,857
2025-01-03,575
2025-01-04,337
2025-01-05,272
2025-01-06,2066
2025-01-07,907
2025-01-08,621
2025-01-09,539
2025-01-10,569
2025-01-11,697
2025-01-12,277
2025-01-13,395
2025-01-14,1305
2025-01-15,1069
2025-01-16,540
2025-01-17,269
2025-01-18,208
2025-01-19,171
2025-01-20,434
2025-01-21,516
2025-01-22,811
2025-01-23,813
2025-01-24,785
2025-01-25,350
2025-01-26,285
2025-01-27,355
2025-01-28,585
2025-01-29,412
2025-01-30,665
2025-01-31,300
2025-02-01,197
2025-02-02,161
2025-02-03,498
2025-02-04,914
2025-02-05,493
2025-02-06,499
2025-02-07,1024
2025-02-08,444
2025-02-09,1103
2025-02-10,6609
2025-02-11,10810
2025-02-12,9539
2025-02-13,9737
2025-02-14,4399
2025-02-15,348
2025-02-16,133
2025-02-17,714
2025-02-18,613
2025-02-19,429
2025-02-20,481
2025-02-21,736
2025-02-22,190
2025-02-23,249
2025-02-24,1404
2025-02-25,406
2025-02-26,474
2025-02-27,417
2025-02-28,601
2025-03-01,184
2025-03-02,122
2025-03-03,242
2025-03-04,279
2025-03-05,892
2025-03-06,665
2025-03-07,534
2025-03-08,157
2025-03-09,122
2025-03-10,1150
2025-03-11,418
2025-03-12,1686
2025-03-13,692
2025-03-14,810
2025-03-15,280
2025-03-16,111
2025-03-17,4469
2025-03-18,3521
2025-03-19,3045
2025-03-20,3726
2025-03-21,4251
2025-03-22,592
2025-03-23,116
2025-03-24,326
2025-03-25,250
2025-03-26,263
2025-03-27,3036
2025-03-28,950
2025-03-29,323
2025-03-30,419
2025-03-31,238
2025-04-01,151
2025-04-02,179
2025-04-03,506
2025-04-04,331
2025-04-05,174
2025-04-06,139
2025-04-07,1011
2025-04-08,631
2025-04-09,249
2025-04-10,14086
2025-04-11,15196
2025-04-12,6570
2025-04-13,4451
2025-04-14,4251
2025-04-15,11377
2025-04-16,7543
2025-04-17,6463
2025-04-18,4806
2025-04-19,300
2025-04-20,553
2025-04-21,1061
2025-04-22,338
2025-04-23,321
2025-04-24,182
2025-04-25,152
2025-04-26,217
2025-04-27,534
2025-04-28,481
2025-04-29,1048
2025-04-30,456
2025-05-01,391
2025-05-02,1507
2025-05-03,849
2025-05-04,838
2025-05-05,457
2025-05-06,550
2025-05-07,1520
2025-05-08,1066
2025-05-09,2101
2025-05-10,3726
2025-05-11,8317
2025-05-12,9535
2025-05-13,7643
2025-01-01,978
2025-01-02,1137
2025-01-03,1042
2025-01-04,308
2025-01-05,144
2025-01-06,1540
2025-01-07,1589
2025-01-08,1602
2025-01-09,1002
2025-01-10,1891
2025-01-11,492
2025-01-12,377
2025-01-13,699
2025-01-14,3216
2025-01-15,2280
2025-01-16,948
2025-01-17,299
2025-01-18,144
2025-01-19,291
2025-01-20,715
2025-01-21,831
2025-01-22,1335
2025-01-23,1763
2025-01-24,1600
2025-01-25,462
2025-01-26,367
2025-01-27,637
2025-01-28,1478
2025-01-29,929
2025-01-30,1818
2025-01-31,691
2025-02-01,304
2025-02-02,228
2025-02-03,1076
2025-02-04,3094
2025-02-05,1088
2025-02-06,1107
2025-02-07,2699
2025-02-08,731
2025-02-09,609
2025-02-10,172997
2025-02-11,205985
2025-02-12,141997
2025-02-13,277962
2025-02-14,21899
2025-02-15,953
2025-02-16,179
2025-02-17,2412
2025-02-18,1154
2025-02-19,1010
2025-02-20,1159
2025-02-21,2212
2025-02-22,275
2025-02-23,277
2025-02-24,3453
2025-02-25,4983
2025-02-26,7158
2025-02-27,7208
2025-02-28,7461
2025-03-01,1491
2025-03-02,486
2025-03-03,485
2025-03-04,531
2025-03-05,2499
2025-03-06,2840
2025-03-07,1602
2025-03-08,9433
2025-03-09,7453
2025-03-10,12807
2025-03-11,11735
2025-03-12,15074
2025-03-13,14685
2025-03-14,9337
2025-03-15,975
2025-03-16,276
2025-03-17,7970
2025-03-18,5133
2025-03-19,3754
2025-03-20,4233
2025-03-21,6091
2025-03-22,957
2025-03-23,241
2025-03-24,955
2025-03-25,596
2025-03-26,749
2025-03-27,5961
2025-03-28,2022
2025-03-29,597
2025-03-30,942
2025-03-31,457
2025-04-01,603
2025-04-02,461
2025-04-03,1030
2025-04-04,828
2025-04-05,603
2025-04-06,366
2025-04-07,2067
2025-04-08,1433
2025-04-09,570
2025-04-10,859
2025-04-11,637
2025-04-12,378
2025-04-13,320
2025-04-14,1222
2025-04-15,9842
2025-04-16,5729
2025-04-17,6061
2025-04-18,6510
2025-04-19,376
2025-04-20,265
2025-04-21,2740
2025-04-22,926
2025-04-23,431
2025-04-24,355
2025-04-25,282
2025-04-26,193
2025-04-27,447
2025-04-28,693
2025-04-29,1584
2025-04-30,555
2025-05-01,778
2025-05-02,3851
2025-05-03,944
2025-05-04,834
2025-05-05,492
2025-05-06,649
2025-05-07,3284
2025-05-08,1101
2025-05-09,361
2025-05-10,274
2025-05-11,373
2025-05-12,701
2025-05-13,595
2025-01-01,106
2025-01-02,176
2025-01-03,161
2025-01-04,74
2025-01-05,34
2025-01-06,114
2025-01-07,76
2025-01-08,146
2025-01-09,91
2025-01-10,124
2025-01-11,70
2025-01-12,62
2025-01-13,82
2025-01-14,119
2025-01-15,87
2025-01-16,100
2025-01-17,93
2025-01-18,28
2025-01-19,51
2025-01-20,75
2025-01-21,82
2025-01-22,130
2025-01-23,129
2025-01-24,92
2025-01-25,27
2025-01-26,42
2025-01-27,56
2025-01-28,113
2025-01-29,80
2025-01-30,112
2025-01-31,97
2025-02-01,95
2025-02-02,77
2025-02-03,64
2025-02-04,149
2025-02-05,59
2025-02-06,72
2025-02-07,97
2025-02-08,50
2025-02-09,148
2025-02-10,146
2025-02-11,216
2025-02-12,209
2025-02-13,240
2025-02-14,183
2025-02-15,125
2025-02-16,62
2025-02-17,135
2025-02-18,38
2025-02-19,55
2025-02-20,86
2025-02-21,109
2025-02-22,91
2025-02-23,55
2025-02-24,73
2025-02-25,58
2025-02-26,98
2025-02-27,98
2025-02-28,81
2025-03-01,51
2025-03-02,63
2025-03-03,46
2025-03-04,56
2025-03-05,91
2025-03-06,73
2025-03-07,87
2025-03-08,67
2025-03-09,55
2025-03-10,77
2025-03-11,76
2025-03-12,96
2025-03-13,127
2025-03-14,96
2025-03-15,145
2025-03-16,68
2025-03-17,175
2025-03-18,237
2025-03-19,213
2025-03-20,131
2025-03-21,305
2025-03-22,102
2025-03-23,48
2025-03-24,123
2025-03-25,96
2025-03-26,101
2025-03-27,173
2025-03-28,106
2025-03-29,67
2025-03-30,113
2025-03-31,36
2025-04-01,63
2025-04-02,84
2025-04-03,77
2025-04-04,116
2025-04-05,90
2025-04-06,71
2025-04-07,125
2025-04-08,124
2025-04-09,69
2025-04-10,285
2025-04-11,208
2025-04-12,163
2025-04-13,95
2025-04-14,151
2025-04-15,214
2025-04-16,225
2025-04-17,228
2025-04-18,145
2025-04-19,119
2025-04-20,73
2025-04-21,125
2025-04-22,104
2025-04-23,72
2025-04-24,72
2025-04-25,76
2025-04-26,81
2025-04-27,84
2025-04-28,118
2025-04-29,274
2025-04-30,138
2025-05-01,83
2025-05-02,218
2025-05-03,171
2025-05-04,107
2025-05-05,68
2025-05-06,117
2025-05-07,160
2025-05-08,73
2025-05-09,52
2025-05-10,68
2025-05-11,56
2025-05-12,52
2025-05-13,66
