date,gender,Age_range,country,followers
02/04/22,Female,18-24,Tunisia,1
02/04/22,Female,25-34,Other,2
02/04/22,Female,25-34,Tunisia,4
02/04/22,Female,45+,Tunisia,1
02/04/22,Male,18-24,France,1
02/04/22,Male,18-24,Tunisia,1
02/04/22,Male,25-34,France,1
02/04/22,Male,25-34,Tunisia,3
02/04/22,Male,35-44,Tunisia,1
02/05/22,Female,18-24,France,2
02/05/22,Female,18-24,Other,1
02/05/22,Female,18-24,Tunisia,3
02/05/22,Female,25-34,France,2
02/05/22,Female,25-34,Tunisia,3
02/05/22,Female,35-44,France,2
02/05/22,Female,35-44,Tunisia,4
02/05/22,Male,18-24,France,3
02/05/22,Male,18-24,Tunisia,2
02/06/22,Male,25-34,Tunisia,1
02/06/22,Male,45+,Tunisia,1
02/06/22,Female,18-24,France,7
02/06/22,Female,18-24,Tunisia,6
02/06/22,Female,25-34,France,5
02/06/22,Female,25-34,Other,2
02/06/22,Female,25-34,Tunisia,5
02/06/22,Female,35-44,France,3
02/06/22,Female,35-44,Other,1
02/07/22,Female,35-44,Tunisia,2
02/07/22,Female,45+,France,1
02/07/22,Female,45+,Tunisia,1
02/07/22,Male,18-24,France,2
02/07/22,Male,18-24,Tunisia,9
02/07/22,Male,25-34,France,4
02/07/22,Male,25-34,Other,1
02/07/22,Male,25-34,Tunisia,4
02/07/22,Male,35-44,France,1
02/08/22,Male,35-44,Tunisia,5
02/08/22,Male,45+,Tunisia,1
02/08/22,Female,18-24,France,2
02/08/22,Female,18-24,Tunisia,10
02/08/22,Female,25-34,France,7
02/08/22,Female,25-34,Other,2
02/08/22,Female,25-34,Tunisia,7
02/08/22,Female,35-44,France,2
02/08/22,Female,35-44,Tunisia,5
02/08/22,Female,45+,Other,2
02/08/22,Female,45+,Tunisia,3
02/08/22,Male,18-24,France,2
02/08/22,Male,18-24,Other,2
02/08/22,Male,18-24,Tunisia,4
02/08/22,Male,25-34,France,7
02/08/22,Male,25-34,Other,3
02/08/22,Male,25-34,Tunisia,7
02/08/22,Male,35-44,France,2
02/08/22,Male,35-44,Tunisia,3
02/07/22,Male,45+,France,1
02/07/22,Male,45+,Tunisia,1
02/08/22,Female,18-24,France,2
02/08/22,Female,18-24,Tunisia,8
02/08/22,Female,25-34,France,3
02/08/22,Female,25-34,Tunisia,6
02/08/22,Female,35-44,France,2
02/08/22,Female,35-44,Other,1
02/08/22,Female,35-44,Tunisia,6
02/08/22,Female,45+,Tunisia,1
02/08/22,Male,18-24,France,4
02/08/22,Male,18-24,Other,1
02/08/22,Male,18-24,Tunisia,3
02/08/22,Male,25-34,France,4
02/08/22,Male,25-34,Tunisia,10
02/08/22,Male,35-44,France,1
02/08/22,Male,35-44,Tunisia,1
02/09/22,Female,18-24,France,3
02/09/22,Female,18-24,Other,1
02/09/22,Female,18-24,Tunisia,4
02/09/22,Female,25-34,Other,1
02/09/22,Female,25-34,Tunisia,5
02/09/22,Female,35-44,France,1
02/09/22,Female,35-44,Tunisia,3
02/09/22,Female,45+,Tunisia,1
02/09/22,Male,18-24,France,1
02/09/22,Male,18-24,Other,3
02/09/22,Male,18-24,Tunisia,3
02/09/22,Male,25-34,France,3
02/09/22,Male,25-34,Other,1
02/09/22,Male,25-34,Tunisia,4
02/09/22,Male,35-44,Other,1
02/09/22,Male,35-44,Tunisia,2
02/09/22,Male,45+,France,2
02/09/22,Male,45+,Tunisia,2
02/10/22,Female,18-24,France,1
02/10/22,Female,18-24,Tunisia,2
02/10/22,Female,25-34,France,1
02/10/22,Female,25-34,Tunisia,1
02/10/22,Female,45+,France,1
02/10/22,Female,45+,Tunisia,1
02/10/22,Male,18-24,Tunisia,1
02/10/22,Male,25-34,Tunisia,2
02/10/22,Male,35-44,Tunisia,2
02/10/22,Male,45+,Other,1
02/12/22,Female,18-24,Tunisia,1
02/12/22,Female,25-34,France,5
02/12/22,Female,25-34,Other,1
02/12/22,Female,25-34,Tunisia,6
02/12/22,Female,35-44,France,1
02/12/22,Female,35-44,Tunisia,5
02/12/22,Male,18-24,Tunisia,1
