audience_key,gender,age_range,country
1,Female,18-24,Tunisia
2,Female,25-34,Other
3,Female,25-34,Tunisia
4,Female,45+,Tunisia
5,Male,18-24,France
6,Male,18-24,Tunisia
7,Male,25-34,France
8,Male,25-34,Tunisia
9,Male,35-44,Tunisia
10,Female,18-24,France
11,Female,18-24,Other
12,Female,25-34,France
13,Female,35-44,France
14,Female,35-44,Tunisia
15,Male,45+,Tunisia
16,Female,35-44,Other
17,Female,45+,France
18,Male,25-34,Other
19,Male,35-44,France
20,Female,45+,Other
21,Male,18-24,Other
22,Male,45+,France
23,Male,35-44,Other
24,Male,45+,Other
