Nom,Pays,Note,Type de séjour,Chambre,Durée,Date du commentaire,Commentaire,Source,Country,Type_of_stay,Room,Duration,Comments,Score,Max_Rating,Sentiment,d4r55,fzvQIb,Date_Avis,Avis,Traduction,Nombre_Avis,Autre,w8nwRe,dSlJg,znYl0,dSlJg 2,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2,Hzvxle,pkWtMe,fontBodySmall 3,fontBodySmall 4
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le ménage laisse à désirer.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Moutia,6.0,Famille,Double Supérieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Boul_romille (France,7.0,Famille,Double vue sur Ville,1 nuit,23 octobre 2022,"Restaurant sous forme de buffet, agréable et bon prix. Peu de pression d'eau dans la salle de bain. Hôtel situé proche d'une route passante.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Néji (France,8.0,Famille,Double Supérieure - Vue sur Mer,6 nuits,10 janvier 2024,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Famille,Double vue sur Ville,5 nuits,20 février 2024,"Excellent, hôtel très bien situé, personnels très agréables et professionnels. Merci pour ce séjour. Je recommande vivement cet hôtel.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Rekaya (Allemagne,9.0,Famille,Double Supérieure - Vue sur Mer,3 nuits,20 avril 2024,"L’équipement est un peu ancien, mais très propre. Le service était excellent, personnel toujours aimable et très attentif. Emplacement central avec parkings disponibles.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Thierry (France,8.0,Famille,Double Supérieure - Vue sur Mer,5 nuits,12 juillet 2024,L’amabilité du personnel.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Valeria (Italie,8.0,Famille,Double Supérieure - Vue sur Mer,2 nuits,12 juillet 2024,"Très accueillant et élégant, staff professionnel et efficace. La structure est ancienne, non rénovée. La baignoire n’est pas accessible aux personnes à mobilité réduite. L’établissement devrait être plus inclusif. Le Wi-Fi ne fonctionnait pas bien.

11.Chiraz (États-Unis) – Note : 10
Type de séjour : Famille
Chambre : Double Supérieure - Vue sur Mer
Durée : 2 nuits
Date du commentaire : 16 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

12.Ophélie (France) – Note : 4,0
Type de séjour : Famille
Chambre : Triple - Vue sur Mer
Durée : 2 nuits
Date du commentaire : 20 juillet 2024
Commentaire :
La localisation. La propreté, les équipements bas de gamme et le petit déjeuné très moyen.

13.Kamel (France) – Note : 10
Type de séjour : Famille
Chambre : Double Supérieure - Vue sur Mer
Durée : 12 nuits
Date du commentaire : 22 juillet 2024
Commentaire :
Top top, personnel accueillant, propreté irréprochable, infrastructures nickel, buffet à volonté très varié, aliments frais. Vraiment rien à redire, je recommande vivement l’hôtel. Bizerte est l'endroit idéal pour vos vacances !

14.Faouzia (Canada) – Note : 10
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 2 nuits
Date du commentaire : 27 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

15.Mourad (France) – Note : 5,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 1 nuit
Date du commentaire : 29 juillet 2024
Commentaire :
Rien. Tout limite insalubre.

16.Mihaela (Roumanie) – Note : 7,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 1 nuit
Date du commentaire : 31 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

17.Hanane (France) – Note : 10
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 6 nuits
Date du commentaire : 3 août 2024
Commentaire :
L’accueil. RAS.

18.Nabil (Tunisie) – Note : 7,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 2 nuits
Date du commentaire : 7 août 2024
Commentaire :
Jätt bra men strand smutsigt. Strand lång borta. (Très bien mais plage sale et éloignée.)

19.Benabdallah (France) – Note : 6,0
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 2 nuits
Date du commentaire : 9 août 2024
Commentaire :
La piscine intérieure. Je n’ai pas aimé la moquette dans la chambre et le petit déjeuner était ""pote"".

20.Bochra (France) – Note : 7,0
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 1 nuit
Date du commentaire : 16 août 2024
Commentaire :
L’emplacement. Petit déjeuner très modeste.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Famille,Suite 1 Chambre,12 nuits,18 août 2024,"A RECOMMANDER SUPER HOTEL PROPRE ET PERSONNEL AU TOP
Excellent, personnel agréable et très professionnel.
Réponse de l'hôtel :
Merci beaucoup pour votre excellent retour! Nous sommes...",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Kouais (Tunisie,7.0,Famille,Chambre Triple - Vue sur Ville,4 nuits,9 septembre 2024,"C'était correct
Le petit déjeuner n'était pas varié. Les sanitaires (flexible, baignoire, fuite d'eau...) étaient problématiques.
Réponse de l'hôtel :
Merci d'avoir pris le temps de partager votre avis....",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamad (Liban,2.0,Famille,Chambre Double vue sur Ville,5 nuits,17 septembre 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Gertrud (Allemagne,7.0,Famille,Chambre Double Supérieure - Vue sur Mer,6 nuits,23 septembre 2024,"Freundliches Personal
Frühstück Pappbecher für O-Saft und Plastiklöffel für Kaffee bzw. Joghurt
Tischdecken waren zum Teil schmutzig
Réponse de l'hôtel :
Hello, Thank you for your kind words about our friendly...",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mélina (France,8.0,Famille,Chambre Double vue sur Ville,5 nuits,3 novembre 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Husam (France,5.0,Famille,Chambre Double vue sur Ville,3 nuits,24 février 2025,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Salem (Ukraine,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,5 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Saifeddine (France,8.0,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,6 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Anonyme (Tunisie,3.0,Couple,Chambre Double vue sur Ville,3 nuits,9 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,13 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Oussama (Tunisie,3.0,Couple,Chambre Double vue sur Ville,1 nuit (séjour incomplet),13 septembre 2022,"L'enfer
Rien
Rien",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
