Nom,Pays,Note,Type de s√©jour,Chambre,Dur√©e,Date du commentaire,Commentaire
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le m√©nage laisse √† d√©sirer.
,Moutia,6.0,Famille,Double Sup√©rieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laiss√©.
,Boul_romille (France,7.0,Famille,Double vue sur Ville,1 nuit,23 octobre 2022,"Restaurant sous forme de buffet, agr√©able et bon prix. Peu de pression d'eau dans la salle de bain. H√¥tel situ√© proche d'une route passante."
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laiss√©.
,N√©ji (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,6 nuits,10 janvier 2024,Aucun commentaire laiss√©.
,,7,Famille,Double vue sur Ville,5 nuits,20 f√©vrier 2024,"Excellent, h√¥tel tr√®s bien situ√©, personnels tr√®s agr√©ables et professionnels. Merci pour ce s√©jour. Je recommande vivement cet h√¥tel."
,Rekaya (Allemagne,9.0,Famille,Double Sup√©rieure - Vue sur Mer,3 nuits,20 avril 2024,"L‚Äô√©quipement est un peu ancien, mais tr√®s propre. Le service √©tait excellent, personnel toujours aimable et tr√®s attentif. Emplacement central avec parkings disponibles."
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laiss√©.
,Thierry (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,5 nuits,12 juillet 2024,L‚Äôamabilit√© du personnel.
,Valeria (Italie,8.0,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,12 juillet 2024,"Tr√®s accueillant et √©l√©gant, staff professionnel et efficace. La structure est ancienne, non r√©nov√©e. La baignoire n‚Äôest pas accessible aux personnes √† mobilit√© r√©duite. L‚Äô√©tablissement devrait √™tre plus inclusif. Le Wi-Fi ne fonctionnait pas bien."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,16 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Oph√©lie (France,4.0,Famille,Triple - Vue sur Mer,2 nuits,20 juillet 2024,"La localisation. La propret√©, les √©quipements bas de gamme et le petit d√©jeun√© tr√®s moyen."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,12 nuits,22 juillet 2024,"Top top, personnel accueillant, propret√© irr√©prochable, infrastructures nickel, buffet √† volont√© tr√®s vari√©, aliments frais. Vraiment rien √† redire, je recommande vivement l‚Äôh√¥tel. Bizerte est l'endroit id√©al pour vos vacances !"
,,7,Famille,Double vue sur Ville,2 nuits,27 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Mourad (France,5.0,Famille,Triple - Vue sur Ville,1 nuit,29 juillet 2024,Rien. Tout limite insalubre.
,Mihaela (Roumanie,7.0,Famille,Triple - Vue sur Ville,1 nuit,31 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,,7,Famille,Double vue sur Ville,6 nuits,3 ao√ªt 2024,L‚Äôaccueil. RAS.
,Nabil (Tunisie,7.0,Famille,Triple - Vue sur Ville,2 nuits,7 ao√ªt 2024,J√§tt bra men strand smutsigt. Strand l√•ng borta. (Tr√®s bien mais plage sale et √©loign√©e.)
,Benabdallah (France,6.0,Famille,Double vue sur Ville,2 nuits,9 ao√ªt 2024,"La piscine int√©rieure. Je n‚Äôai pas aim√© la moquette dans la chambre et le petit d√©jeuner √©tait ""pote""."
,Bochra (France,7.0,Famille,Double vue sur Ville,1 nuit,16 ao√ªt 2024,L‚Äôemplacement. Petit d√©jeuner tr√®s modeste.
,,8,Famille,Suite 1 Chambre,12 nuits,18 ao√ªt 2024,"A RECOMMANDER SUPER HOTEL PROPRE ET PERSONNEL AU TOP
Excellent, personnel agr√©able et tr√®s professionnel.
R√©ponse de l'h√¥tel :
Merci beaucoup pour votre excellent retour! Nous sommes..."
,Kouais (Tunisie,7.0,Famille,Chambre Triple - Vue sur Ville,4 nuits,9 septembre 2024,"C'√©tait correct
Le petit d√©jeuner n'√©tait pas vari√©. Les sanitaires (flexible, baignoire, fuite d'eau...) √©taient probl√©matiques.
R√©ponse de l'h√¥tel :
Merci d'avoir pris le temps de partager votre avis...."
,Mohamad (Liban,2.0,Famille,Chambre Double vue sur Ville,5 nuits,17 septembre 2024,Ce client n'a pas laiss√© de commentaire.
,Gertrud (Allemagne,7.0,Famille,Chambre Double Sup√©rieure - Vue sur Mer,6 nuits,23 septembre 2024,"Freundliches Personal
Fr√ºhst√ºck Pappbecher f√ºr O-Saft und Plastikl√∂ffel f√ºr Kaffee bzw. Joghurt
Tischdecken waren zum Teil schmutzig
R√©ponse de l'h√¥tel :
Hello, Thank you for your kind words about our friendly..."
,M√©lina (France,8.0,Famille,Chambre Double vue sur Ville,5 nuits,3 novembre 2024,Ce client n'a pas laiss√© de commentaire.
,Husam (France,5.0,Famille,Chambre Double vue sur Ville,3 nuits,24 f√©vrier 2025,Ce client n'a pas laiss√© de commentaire.
,Salem (Ukraine,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,5 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Saifeddine (France,8.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,6 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Anonyme (Tunisie,3.0,Couple,Chambre Double vue sur Ville,3 nuits,9 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,13 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Oussama (Tunisie,3.0,Couple,Chambre Double vue sur Ville,1 nuit (s√©jour incomplet),13 septembre 2022,"L'enfer
Rien
Rien"
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,26 septembre 2022,"Un bel soggiorno
L'accoglienza eccellente
Traduction : Excellent s√©jour, accueil formidable."
,L√©na (France,8.0,Couple,Chambre Double vue sur Ville,2 nuits,26 novembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double vue sur Ville,2 nuits,7 d√©cembre 2022,Ce client n'a pas laiss√© de commentaire.
,,6,Couple,Chambre Double Sup√©rieure - Vue sur Mer,8 nuits,8 janvier 2024,Ce client n'a pas laiss√© de commentaire.
,Mohamed (Italie,4.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,31 janvier 2024,"Bello
La struttura √® bella ma la gestione zero. Posizione.
Traduction : L‚Äô√©tablissement est beau mais la gestion est nulle. Bon emplacement."
,Bastien (Espagne,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,22 mars 2024,"Suffisant pour un s√©jour √† Bizerte
Le personnel tr√®s aimable et aidant. Chambre grande et confortable. Piscine int√©rieure super.
Le wifi ne fonctionne pas dans les chambres. Salle de sport payante et pas entretenue."
,Jack (Royaume-Uni,2.0,Couple,Chambre Double vue sur Ville,2 nuits,9 avril 2024,"Seemed ok till we didn‚Äôt want a taxi anymore and the staff become a nightmare
Close to the beach
Staff, booked a taxi through the hotel and paid in advance. Wanted to cancel it and was told we couldn‚Äôt, and they didn‚Äôt know where our money was as their colleague had booked it.
Traduction : Proche de la plage. Le personnel a mal r√©agi quand on a voulu annuler un taxi r√©serv√© et pay√© d‚Äôavance. Ils ne savaient pas o√π √©tait notre argent."
,Elizabeth (Royaume-Uni,8.0,Couple,Chambre Double vue sur Ville,2 nuits,12 avril 2024,"Bon buffet, chambre confortable, personnel aimable.
Ensemble un peu fatigu√©, m√©riterait une r√©novation."
,Dani√´l (Pays-Bas,9.0,Couple,Chambre Triple - Vue sur Ville,2 nuits,13 avril 2024,Pas de commentaire laiss√©.
,Mohamed (Arabie Saoudite,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,16 avril 2024,"Bonne localisation, belle vue, iftar satisfaisant.
Salle de sport et petit-d√©jeuner d√©cevants."
,Johanna (Allemagne,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,25 avril 2024,"Chambre spacieuse avec balcon, vue mer magnifique, tr√®s calme.
Chasse d‚Äôeau difficile √† utiliser."
,Borjaeugui (Espagne,9.0,Couple,Chambre Double vue sur Ville,1 nuit,22 juin 2024,"Tr√®s bien situ√©, proche du centre et en bord de plage, belle piscine.
Petit d√©jeuner basique, manque d‚Äô√©quipements."
,Roberto (Italie,10.0,Couple,Chambre Double vue sur Ville,2 nuits,29 juin 2024,"Personnel tr√®s courtois, structure propre et tr√®s bien situ√©e.
Aucun point n√©gatif √† signaler."
,Sihem (France,1.0,Couple,Chambre Double vue sur Ville,2 nuits,4 juillet 2024,"Rien.
S√©jour tr√®s d√©cevant, je ne reviendrai pas."
,Elyes (France,1.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,6 juillet 2024,"Pr√©sence de cafards dans la salle de bain (10 tu√©s).
Exp√©rience choquante, hygi√®ne inadmissible."
,Ryad (Libye,5.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,9 juillet 2024,Pas de commentaire laiss√©.
,Rismawati (Indon√©sie,2.0,Couple,Chambre Double vue sur Ville,1 nuit,10 juillet 2024,"Emplacement pratique, mais chambre sale, pas d‚Äô√©quipements (eau, caf√©).
Mauvais service, accueil froid, discrimination per√ßue."
Imed,France,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,18 juillet 2024,"S√©jour tr√®s agr√©able
Le personnel sympathique, parking en face de l‚Äôentr√©e, belle vue et piscine agr√©able. Petit d√©jeuner tr√®s correct.
Rien"
Abdesselem,France,7.0,Couple,Chambre Double vue sur Ville,3 nuits,22 juillet 2024,"Bien
Ce client n'a pas laiss√© de commentaire."
Khalil,Canada,3.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,23 juillet 2024,"Assez m√©diocre
Ce client n'a pas laiss√© de commentaire."
Pascale,France,6.0,Couple,Chambre Double vue sur Ville,5 nuits,30 juillet 2024,"Assez bien
La piscine est bien, le restaurant aussi, mais les chambres ne sont pas top.
2 personnes ont trouv√© ce commentaire utile."
Ayadi,Tunisie,8.0,Couple,Suite 1 Chambre,3 nuits,31 juillet 2024,"Tr√®s bien
Ce client n'a pas laiss√© de commentaire."
,,8,Couple,Suite 1 Chambre,2 nuits,5 ao√ªt 2024,"Exceptionnel
Nous avons pass√© un tr√®s bon moment. Endroit tr√®s paisible, propre et √©l√©gant. Le personnel est discret et √† l'√©coute de nos d√©sirs. Le restaurant est tr√®s propre, avec un buffet √† volont√© de bonne qualit√© et frais. Grand merci au chef et √† la femme de m√©nage d'une gentillesse in√©gal√©e ailleurs. H√¥tel digne de ses 4 √©toiles, √† recommander pour un s√©jour de noces."
,,4,Couple,Chambre Double vue sur Ville,7 nuits,11 ao√ªt 2024,"Exceptionnel
Ce client n'a pas laiss√© de commentaire."
Yasmine,France,5.0,Couple,Chambre Double vue sur Ville,3 nuits,15 ao√ªt 2024,"Passable
Ce client n'a pas laiss√© de commentaire."
Lisa,Allemagne,5.0,Voyageur individuel,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,30 juillet 2024,"Bien, mais la fum√©e et la n√©cessit√© de r√©novation g√¢chent tout.
La localisation et la proximit√© de la plage √©taient bonnes. Le buffet du petit d√©jeuner √©tait gigantesque, avec une grande vari√©t√©. Le personnel √©tait tr√®s sympathique.
Cependant, partout o√π l'on allait, il y avait de la fum√©e. On peut m√™me fumer dans les chambres. Tout √©tait tr√®s vieux et aurait besoin de r√©novations. La lumi√®re dans ma chambre ne fonctionnait pas, seul un petit veilleuse √©tait allum√©e. Il y avait un petit r√©frig√©rateur dans la chambre qui ne se fermait pas correctement et brillait toute la nuit."
Essam,√âgypte,1.0,Voyageur individuel,Chambre Double vue sur Ville,2 nuits,10 octobre 2022,"Mauvais
Ce client n'a pas laiss√© de commentaire."
Mohamed,Tunisie,5.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,14 f√©vrier 2024,"Passable
Ce client n'a pas laiss√© de commentaire."
Apostolos,Gr√®ce,6.0,Voyageur individuel,Chambre Double vue sur Ville,3 nuits,21 mars 2024,"Agr√©able
The staff was very polite, but during the winter when I visited, the hotel was only partially operational. The room was quite dirty, as well as the bathroom. There were garbage everywhere. On the first day, while I was lying down, the staff opened the door without knocking to take a chair. Everything seemed very improvised."
Jonathan,Royaume-Uni,1.0,Voyageur individuel,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,9 avril 2024,"Avoid!!!
Traduction :
√Ä √©viter!!!
Rien.
Le personnel √©tait tr√®s impoli. Ils ont essay√© de me facturer deux fois ma chambre. Nourriture de mauvaise qualit√©.
1 personne a trouv√© ce commentaire utile."
Joe,Royaume-Uni,7.0,Voyageur individuel,Chambre Double Sup√©rieure - Vue sur Mer,6 nuits,10 avril 2024,"Lovely staff, great location, comfortable stay
Bon s√©jour, personnel agr√©able, situation excellente, chambre confortable. La nourriture √©tait bonne, le personnel tr√®s sympathique, et l'aire de la piscine √©tait excellente.
La connexion Wi-Fi √©tait assez faible, sauf dans le hall de l'h√¥tel.
L'h√¥tel √©tait annonc√© avec un sauna, mais je n'ai pas vu ou entendu parler de son utilisation. Les installations de gym √©taient tr√®s pauvres.
Paysage naturel pr√®s de l'h√¥tel."
Kevin,Royaume-Uni,8.0,Voyageur individuel,Chambre Triple - Vue sur Mer,3 nuits,16 avril 2024,"Good stay if slightly expensive
Bon s√©jour, mais un peu cher.
Excellente situation, piscine g√©niale, chambres sympas. Cependant, la nourriture √©tait ch√®re et moyenne."
Ilaria,Italie,4.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,28 avril 2024,"Draps sales, nappes sales √† la table, salle de bain sale."
Didier,France,9.0,Voyageur individuel,Chambre Double vue sur Ville,2 nuits,5 mai 2024,"Top je reviendrai en septembre...
L'accueil √©tait parfait, comme toujours en Tunisie. Seuls les fumeurs dans le bar m'ont d√©rang√©, car en France, nous avons perdu l'habitude de la fum√©e dans les lieux publics. J'avais oubli√© √† quel point cela peut √™tre g√™nant quand on n'est pas fumeur."
,Zakaria (Maroc,8.0,Voyageur solo,Chambre Double vue sur Ville,,14 avril 2025,Aucun commentaire laiss√©.
,Jamel (France,7.0,Voyageur solo,Chambre Double Sup√©rieure - Vue sur Mer,,15 avril 2025,Aucun commentaire laiss√©.
,Farid (France,8.0,Voyageur solo,Chambre Double Sup√©rieure - Vue sur Mer,,17 avril 2025,Aucun commentaire laiss√©.
,Alice (France,9.0,En couple,Chambre Double vue sur Ville,,19 avril 2025,"Tr√®s bon rapport qualit√©-prix, personnel agr√©able, chambre propre.
Le petit d√©jeuner pourrait √™tre un peu plus vari√©."
,Nicolas (France,6.0,En couple,Chambre Double vue sur Ville,,21 avril 2025,"Bien situ√© mais trop de bruit la nuit, mauvaise insonorisation.
Literie confortable, mais salle de bain ancienne."
,
ÿßŸ?ÿ±ÿ≠ÿßŸ? ÿßŸ?ÿ¥Ÿ?ÿ±Ÿ?,5-Apr,5 years ago,Google,ÿ¨Ÿ?Ÿ?Ÿ? Ÿ?Ÿ?Ÿ?ÿ∏ÿ± ÿÆŸ?ÿßÿ® Ÿ?ÿ£ŸÅÿ∂Ÿ? ÿßŸ?Ÿ?Ÿ?ÿ¨Ÿ?ÿØ ŸÅŸ? ÿ®Ÿ?ÿ≤ÿ±ÿ™,See translation (English),Local Guide ¬∑ 129 reviews ¬∑ 2 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,,
Mahmoud‚?è ‚?èMoawad Zidane,5-May,6 years ago,Google,ŸÅŸ?ÿØŸ? Ÿ?Ÿ? ÿßŸÅÿ∂Ÿ? ÿßŸ?ŸÅŸ?ÿßÿØŸ? ÿßŸ?ŸÅŸ?Ÿ? ÿßŸ?Ÿ?ÿ™Ÿ?ÿ≥ÿ∑Ÿ? ÿßŸ? ŸÅŸ?Ÿ? ÿßŸ?Ÿ?ÿ™Ÿ?ÿ≥ÿ∑Ÿ?,See translation (English),Local Guide ¬∑ 35 reviews ¬∑ 2 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,,
Hassan Almalki,5-May,6 years ago,Google,ŸÅŸ?ÿØŸ? Ÿ?Ÿ?ÿ™ÿßÿ≤ Ÿ?Ÿ?ÿßÿ≥ ÿ∑Ÿ?ÿ®Ÿ?,See translation (English),Local Guide ¬∑ 29 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,,
Ÿ?ÿßÿ¨ÿØ ÿπÿ≥Ÿ?ÿ±Ÿ?,5-May,6 years ago,Google,Ÿ?Ÿ?ÿßÿßÿßÿßÿßÿßŸ? ÿ±ÿßÿ¶ÿπ ÿ¨ÿØÿßŸ? Ÿ?Ÿ?ÿßŸ?ÿßŸ?ÿ© Ÿ?ÿßŸ?ÿßÿ≥ÿ™ÿ¨Ÿ?ÿßŸ?,See translation (English),Local Guide ¬∑ 82 reviews ¬∑ 464 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,,
samir rezzag,5-May,6 months ago,Google,Ÿ?Ÿ?ÿ™ÿßÿ≤ÿ©,See translation (English),Local Guide ¬∑ 4 reviews ¬∑ 96 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,3 months ago,Thank you for your review we hope to see you again very soon in our hotel!,,,,
