Date,interactions
02/04/2022,0
02/05/2022,0
02/06/2022,0
02/07/2022,0
02/08/2022,0
02/09/2022,0
02/10/2022,0
02/11/2022,0
02/12/2022,0
02/13/2022,0
02/14/2022,0
02/15/2022,0
02/16/2022,0
02/17/2022,0
02/18/2022,0
02/19/2022,0
02/20/2022,0
02/21/2022,0
02/22/2022,0
02/23/2022,0
02/24/2022,0
02/25/2022,0
02/26/2022,0
02/27/2022,0
02/28/2022,0
03/01/2022,0
03/02/2022,0
03/03/2022,0
03/04/2022,0
03/05/2022,0
03/06/2022,0
03/07/2022,0
03/08/2022,0
03/09/2022,0
03/10/2022,0
03/11/2022,0
03/12/2022,0
03/13/2022,0
03/14/2022,0
03/15/2022,0
03/16/2022,0
03/17/2022,0
03/18/2022,0
03/19/2022,0
03/20/2022,0
03/21/2022,0
03/22/2022,0
03/23/2022,0
03/24/2022,0
03/25/2022,0
03/26/2022,0
03/27/2022,0
03/28/2022,0
03/29/2022,0
03/30/2022,0
03/31/2022,0
04/01/2022,0
04/02/2022,0
04/03/2022,0
04/04/2022,0
04/05/2022,0
04/06/2022,0
04/07/2022,0
04/08/2022,0
04/09/2022,0
04/10/2022,0
04/11/2022,0
04/12/2022,0
04/13/2022,0
04/14/2022,0
04/15/2022,0
04/16/2022,0
04/17/2022,0
04/18/2022,0
04/19/2022,0
04/20/2022,0
04/21/2022,0
04/22/2022,0
04/23/2022,0
04/24/2022,0
04/25/2022,0
04/26/2022,0
04/27/2022,0
04/28/2022,0
04/29/2022,0
04/30/2022,0
05/01/2022,0
05/02/2022,0
05/03/2022,0
05/04/2022,0
05/05/2022,0
05/06/2022,0
05/07/2022,0
05/08/2022,0
05/09/2022,0
05/10/2022,0
05/11/2022,0
05/12/2022,0
05/13/2022,0
05/14/2022,0
05/15/2022,0
05/16/2022,0
05/17/2022,0
05/18/2022,0
05/19/2022,0
05/20/2022,0
05/21/2022,0
05/22/2022,0
05/23/2022,0
05/24/2022,0
05/25/2022,0
05/26/2022,0
05/27/2022,0
05/28/2022,0
05/29/2022,0
05/30/2022,0
05/31/2022,0
06/01/2022,0
06/02/2022,0
06/03/2022,0
06/04/2022,0
06/05/2022,0
06/06/2022,0
06/07/2022,0
06/08/2022,0
06/09/2022,0
06/10/2022,0
06/11/2022,0
06/12/2022,0
06/13/2022,0
06/14/2022,0
06/15/2022,0
06/16/2022,0
06/17/2022,0
06/18/2022,0
06/19/2022,0
06/20/2022,0
06/21/2022,0
06/22/2022,0
06/23/2022,0
06/24/2022,0
06/25/2022,0
06/26/2022,0
06/27/2022,0
06/28/2022,0
06/29/2022,0
06/30/2022,0
