review_id,translated_text,sentiment
1007746212,"Restaurant to avoid. Completely industrial, the dish, dessert…. Bad wine and more expensive!  The server was nice. The Hotel is beautiful, beautiful swimming pool opposite the sea, but we did not stay in this hotel. Besides, in the restaurant there was only us. The room was empty! Damage!",Positive
1007718087,"Very good stay!
Clean and well located hotel, welcoming and professional staff. Comfortable room, varied and very good breakfast. Special mention to the restaurant staff, attentive and smiling. I recommend without hesitation!",Positive
1007716630,"I had a great time in this place. The welcome was very warm, the staff attentive and smiling. The place is clean, well organized, and we feel a real passion in service. Each detail is neat, and the atmosphere makes you feel comfortable. I highly recommend to those looking for a good experience, whether with family, friends or solo. A place where we want to come back!",Positive
1007716601,"Super hotel, the staff are very welcoming and smiling, the buffet and really top. I recommend with pleasure this fabulous hotel located a few steps from the sea. The setting is heavenly and very well maintained. The cleaning in the rooms is done every day, very good experience for my part.",Positive
1007716431,"It's a perfect hotel 
Everything is in Tooooooooop 
Toooop food 
Tooooop frame 
Tooooop room 😍😍😍X
Staff are always available for requests 
Especially that we were 70 people 💪🏻💪🏻👏🏻👏🏻 Thank you Bizerta Resort Congress and Spa",Positive
999812067,"I am extremely disappointed with the reception staff.
I have repeatedly asked to change rooms and each time the same answer tomorrow but nothing happens. And in addition to that, more than limited kindness.
A hotel calling for 4 stars is rather like a hotel with 4 shooting stars.
To flee !!!",Neutral
995421868,"Perfect welcome, very caring kind staff. I appreciated the large hearty buffet, with European and Tunisian specialties. The whole group appreciated the work room with sea views and the possibility of being able to go out quickly to discuss or even work in small groups around the swimming pool or on the lawn. Very fast access to the beach from the hotel, which we have often taken advantage of.",Positive
995133419,"Great Resort where we keep coming back due to the high service Quality: 

Food is great and the kitchen and service team are highly freindly, fast answering our requests and always provide our needs.
Wifi is covering most of the building and even near the swimming pool with high speed internet.
Two elevators are working perfectly and aways clean as well no malfunction , so perfect.
Rooms are tidy, clean with hot and cold water exist as well high pressure in all times of the day and night, Shampo and body gel is provided every day next to the towels. 

Parking place is free provided and security and safety is ensured day and night. 
Reception team are always available with one or two persons if not three at the same time. 
You can also change your currency with bit lower rate but still really fair. 
The indoor swimming pool have seperated showers, locker rooms and nice place to swimm with the family or collegues as well the small gym they provide. 

Great experiance and for sure to be recommended for future seminars.,",Positive
994942161,"I spent a week of training at the Bizerta Resort hotel, we were a group of a 50 -participants, the hotel staff were very careful with us, the catering was varied and very correct, the rooms very clean and comfortable. Between beach and swimming pool, the setting is pleasant. I recommend this hotel for a training stay or a teamwitching, the spaces lend themselves well and I warmly thank all the kitchen, service and maintenance staff. The hotel is close to the city center, old port and shops.",Positive
994935012,Spacious and clean room. Friendly and professional staff. Pleasant space and diversified and good catering. I recommend Bizerta comes out for a professional and personal stay. Very pleasant setting with very suitable meeting spaces.,Positive
994800856,"Amazing accommodation, great reception, a high quality rooms, a good level food. The accommodated all our needs for the full duration. 
The reception team always was at our highest expectations and they made checking in and out seamless and fun. I recommend",Positive
994747942,"Very welcome for a group of around forty people: the attentive, available and professional team. The rooms are spacious and clean, the view is magnificent and everyone is very caring. At the restaurant a buffet with pretty dishes, with excellent fresh products, with a pleasant and fast service. Several functional and equipped work rooms and all this in a green setting, a stone's throw from the sea. And many more facilities: swimming pools, spa, cafe-bar, even the hairdresser!",Positive
994690058,"The staff are really nice and attentive, good and balanced meals, clean and comfortable rooms. A very good experience to recommend ... which also impressed me is calm. Sleep the window open without problem. Thank you for this great week.",Positive
994685475,"A very comfortable place, with excellent service. Throughout A
Our training, we were welcomed in a very warm way, brought this breast breaks, the cleaning of the rooms was excellent, all the staff is smiling, welcoming and in good humor. I recommend this place to have a good time by the sea and welcomed in a very warm way!",Positive
994685007,"The hotel is very well equipped and very clean, thank you to the staff! 
We had a very good stay. The view is very beautiful.
The staff are very nice. We had a great time. 
The sea is very close and that is pleasant. We are happy with the stay",Positive
994683559,"Very pleasant hotel and receiving personsts, hygiene Impeccable restoration very satisfactory The beach is accessible the rooms.de. spacious work Ilny also has the.piscine and the sport to allow you to do you have the experience to make a sauna of 50 minutes but I found that it is not hot enough it allows you to stay too much if not it would have been too much",Positive
994551015,"A beautiful quiet hotel suitable for families 
The hotel crew, God willing, to them 
Eating is suitable and beautiful taste 
The rooms are clean and wide 
I advise everyone who wants to visit Bizerte because it is true 
 A place that can be said is wonderful
 Long as you shine
More brilliance and continuing to provide your wonderful services ...",Positive
994550051,It was a pleasant experience in addition the people of the hotel welcomed us very well I will give 5 stars thank you very much to Bizert and all the person I have met Tunisians from the Moroccan and even the French and the German.,Positive
987093327,"Flawless !!!
Very warm welcome and top services (caring).
The icing on the cake = top kitchen
The pool is well heated.
The parking lot is secure.
Ideal for summer and winter.
The best of bizerte.
I recommend 100 %
Good trip 😃",Positive
969342422,"Simply shameful. Room full of ants, yellow stained sheets, mold on the walls, dirt and hair everywhere. Terrace communicating with the terraces of the other rooms, pity, however, that I could not close the balcony and that anyone could have entered and steal everything. Escape !!!!",Neutral
968950659,"For asmathics like me, I do not recommend this hotel. It has the distinction of having carpets in the rooms and what is more systematically cleaned. Especially since the hotel does not have non -smoking rooms (all rooms have an ashtray) ... so may have cigarette odors in some of them. In addition, the service is not worthy of a 4*: glasses offered but no water bottle which is the minimum required. To succeed in sleeping, I had to put a t-shirt on the pillow so much that he was loaded with dust. I do not recommend this hotel for the dilapidation of the rooms. Otherwise the staff try to do the necessary with the few means made available. Expensive for what it is (110 €/night in September.",Neutral
957068460,"I often go to Bizerte for work, I have tested the hotel for the first time, it is splendid from the outside, it reminds me of a palace of Marrakech, the garden and the very well maintained swimming pool. I was with a room in the 4th century, in the 4th the rooms deserve a renovation and I took a renovated room in the 1st floor, they are perfect, Italian shower marble on the ground.
The staff are very nice in the welcome, a big thank you to Rim who knows his job well and who is always looking for a solution for customers. The morning breakfast must be Ameliore, the evening buffet and very correct.
I will come back with pleasure without this hotel .... and I recommend it is surely the best of bizerte, there is also the spa to relax in the evening after work.",Positive
946587938,"Very bad time spent in the very poor quality infective food restaurant that animals are not even shame 
We even serve pasta at Salami Sky never seen 
I strongly advise against everyone not to go there",Negative
930057693,"A horrible hotel with horrible non-existent services. I strongly advise you not to go there, to sleep and eat in any case!!! The staff is not friendly
Fast food is very very basic
Aside from the location, whether it is the welcome, the service or the quality/price ratio, everything needs to be reviewed...",Neutral
907621421,"Great hotel on the beach, and easy walking distance to medina. Staff excellent, and rooms of a  very good standard. Breakfast good, but no toasting machine or tea. Pool bar and restaurant very good but closes way too early around 5, which only leaves the bar for a drink, which is very dated, and the most uncomfortable chairs, I have ever experienced, although bar staff very friendly and helpful. Rooms cleaned to a high standard, and can recommend the sea view ones, excellent. Shoe shine machines on each floor, but non have any polish in them, just the Rotating brushes. Bathrooms to a high standard, but no plugs in the sink, so not ideal. Air conditioning not very cold. Overall a very good experience, and the beach is superb.",Positive
900942881,"Hello, this hotel absolutely does not deserve 4 stars. Very old hotel. The cleanliness of the rooms leaves something to be desired. The bed linen has not been changed. Corpse of a bird in the terrace that has apparently dated for a long time. Our booking agency had to ring at the reception so that we can change rooms. Our opinion remained the same.  
With regard to reception staff, apart from listening to our complaints, no effort, no excuse or compensation from them. We were very disappointed. We will never advise this hotel. To flee!",Neutral
870876030,"Good and varied meals, the rest is good and the view is superb. Welcoming staff! The last day we had to leave earlier for the airport and they had the great kindness of opening the kitchen earlier to allow us to have lunch before leaving",Positive
870835433,"Every day, we were entitled to an excellent buffet as much in the morning as in the evening, the staff was courteous and accommodating at all times, are the clean spaces, all with a superb view of the sea.",Positive
870772492,"Very clean and very attentive personal hotel, beautiful personalized attentions has every day.  They are listening to our needs and sees what we lack for nothing.  Superb view of the ocean!",Positive
870757035,"A nice week spent at this hotel, the people are kind.
I like the concept of buffet. 
Locate well on the seaside.
Superb view. near all service.
Perfect for business trips and holidays.",Positive
870753656,"Reception and cleanliness of the irreproachable rooms. Staff at the service of customers, benevolence and guaranteed smile. I recommend this hotel for a business or relaxation stay. Looking forward to seeing yourself again soon.",Positive
870753575,Thank you for everything!  The room was large and clean with attention to the staff. Very good service too. The establishment has a view of the Mediterranean. The food is very good and offers a variety of Tunisian dishes. The staff are courteous and polite.,Positive
870748865,"We really liked our stay at the Bizerta Resort. We stayed there for 5 days for business and during our stay we had a very good service of all the staff. The rooms were clean, the food was good and the welcome warm. I recommend it to you.",Positive
867793791,"Everything perfect
Very large and very beautiful structure located on the seafront equipped with all services ...
Beautiful outdoor swimming pool and a very large indoor indoor.
The restaurant was then a beautiful surprise ...
International cuisine with very well -kept and very good dishes ...
Large buffet of really fantastic fresh desserts.
The rooms are very large and equipped with all comforts and TVs even with Italian channels ...
Everything perfect
Good",Positive
867321283,"First stay in this hotel, I am very disappointed with the reception woman, very cold with customers, not to smile, I ask to have a sea viewed room she refuses on the pretext that the hotel is complete when it is very empty.  During the welcome we are waiting for more than an hour to have the keys to the room, not even a glass of water to offer us. We arrive in the room there is just a bath for a single person while we are a couples with a baby. I can't find a baby bed in the bedroom, so I kindly decent at the reception to ask for the baby bed, she replies that it will come dici tonight ... And she also tells me that I can make a complaint in case I do not receive the baby bed with a poorly polished look.
At the end of the stay I make the keys not even a word or a look. Frankly, she does not deserve the place of the reception.
Very average breakfast. Dirty table. 
Clean room but too much noise at night in the corridors and a lot of street noise ...
I do not recommend this hotel, unfortunately there are not much choice in Bizerte.",Neutral
865384462,"Quality hotel, attentive and attentive staff.
Rim was perfect for our complaint.
Just a few improvements to be expected regarding the quality of breakfast, the offer and quality of the drinks available during the day.
Very nice sea view from the room.
I recommend",Positive
855052240,"High quality hotel with a warm service and welcome.
Very clean rooms with little staff attentions. 
Quite varied interior and exterior catering. 
We highly recommend this hotel for a stay in Bizerte",Positive
849087104,"Magnificent stay,
To revisit once again 
Very good service
The dishes are very delicious 
Magnificent trais rooms with sea views
The swimming pool and the beach are very clean 
Hotel Number 1 in Bizerte",Positive
847647607,"We had a pleasant stay in this hotel. Very warm welcome and benevolent staff Ai Comfort of the customer.
The room had a life on swimming pool and on the sea magnificent sunset in sight.

Cleanliness and hygiene of the toilet. Bravo to staff for work.

I will surely be back with the family one day.",Positive
822558646,"A very nice discovery yesterday! 

We have eaten an excellent fish couscous very well, and drunk at the Moorish coffee a delicious mint tea.
The hotel was clean and the quality service. Bravo and good luck.",Positive
784504795,"After 3 years of absence, I returned to this hotel for a long weekend of rest.
Not many customers, unfortunately given the economic situation.
Clean hotel, located on the cornice for a walk.
Very pleasant sea view room.
Correct catering,
Hall bar, busy and correct prices.
Moorish coffee with a beautiful sunny terrace.
Spa and indoor swimming pool not tried.
A pleasant stay.",Positive
765521794,"Quiet hotel with a magnificent view of the sea, very clean room. Breakfast was varying! On the other hand, we did not appreciate the outdoor restaurant which in addition to being quite expensive was not excellent ...",Neutral
747878301,"Clean and well located, a hotel that deserves more ecological equipment because it is located by the sea.
Functional rooms and discreet staff, I have a very good memory! Very good kitchen approaching local cuisine! And fresh local products!",Positive
