date,content_type,published,interactions,reach
02/04/2022,Links,1,1,12
02/04/2022,Multi media,1,1,1
02/04/2022,Multi photo,1,1,7
02/04/2022,Others,1,1,67
02/04/2022,Photos,1,1,65
02/04/2022,Reels,1,1,12
02/04/2022,Stories,1,1,4
02/04/2022,Text,1,1,5
02/04/2022,Videos,1,1,3
02/05/2022,Links,1,1,12
02/05/2022,Multi media,1,1,1
02/05/2022,Multi photo,1,1,7
02/05/2022,Others,1,1,67
02/05/2022,Photos,1,1,65
02/05/2022,Reels,1,1,12
02/05/2022,Stories,1,1,4
02/05/2022,Text,1,1,5
02/05/2022,Videos,1,1,3
02/06/2022,Links,1,1,12
02/06/2022,Multi media,1,1,1
02/06/2022,Multi photo,1,1,7
02/06/2022,Others,1,1,67
02/06/2022,Photos,1,1,65
02/06/2022,Reels,1,1,12
02/06/2022,Stories,1,1,4
02/06/2022,Text,1,1,5
02/06/2022,Videos,1,1,3
02/07/2022,Links,1,1,12
02/07/2022,Multi media,1,1,1
02/07/2022,Multi photo,1,1,7
02/07/2022,Others,1,1,67
02/07/2022,Photos,1,1,65
02/07/2022,Reels,1,1,12
02/07/2022,Stories,1,1,4
02/07/2022,Text,1,1,5
02/07/2022,Videos,1,1,3
02/08/2022,Links,1,1,12
02/08/2022,Multi media,1,1,1
02/08/2022,Multi photo,1,1,7
02/08/2022,Others,1,1,67
02/08/2022,Photos,1,1,65
02/08/2022,Reels,1,1,12
02/08/2022,Stories,1,1,4
02/08/2022,Text,1,1,5
02/08/2022,Videos,1,1,3
02/09/2022,Links,1,1,12
02/09/2022,Multi media,1,1,1
02/09/2022,Multi photo,1,1,7
02/09/2022,Others,1,1,67
02/09/2022,Photos,1,1,65
02/09/2022,Reels,1,1,12
02/09/2022,Stories,1,1,4
02/09/2022,Text,1,1,5
02/09/2022,Videos,1,1,3
02/10/2022,Links,1,1,12
02/10/2022,Multi media,1,1,1
02/10/2022,Multi photo,1,1,7
02/10/2022,Others,1,1,67
02/10/2022,Photos,1,1,65
02/10/2022,Reels,1,1,12
02/10/2022,Stories,1,1,4
02/10/2022,Text,1,1,5
02/10/2022,Videos,1,1,3
02/11/2022,Links,1,1,12
02/11/2022,Multi media,1,1,1
02/11/2022,Multi photo,1,1,7
02/11/2022,Others,1,1,67
02/11/2022,Photos,1,1,65
02/11/2022,Reels,1,1,12
02/11/2022,Stories,1,1,4
