id,reviewer_name,platform,review_text,translated_review_text,normalized_rating,date,country,sentiment,stay_type
1007746212,Eliane F,Tripadvisor,"Restaurant à éviter. Complètement industriel, le plat , dessert …. mauvais vin et en plus cher!  le serveur était gentil.l’hotel est beau, belle piscine en face la mer, mais on est pas resté dans cet hôtel. D’ailleurs, dans le restaurant il y avait que nous. La salle était vide! Dommage!","Restaurant to avoid. Completely industrial, the dish, dessert…. Bad wine and more expensive!  The server was nice. The Hotel is beautiful, beautiful swimming pool opposite the sea, but we did not stay in this hotel. Besides, in the restaurant there was only us. The room was empty! Damage!",2,2025-05-15,Tunisia,Positive,COUPLES
1007718087,mohand_outahar@yahoo.fr,Tripadvisor,"Très bon séjour !
Hôtel propre et bien situé, personnel accueillant et professionnel. Chambre confortable, petit-déjeuner varié et très bon. Mention spéciale au personnel du restaurant, attentionné et souriant. Je recommande sans hésiter !","Very good stay!
Clean and well located hotel, welcoming and professional staff. Comfortable room, varied and very good breakfast. Special mention to the restaurant staff, attentive and smiling. I recommend without hesitation!",8,2025-05-15,Tunisia,Positive,FRIENDS
1007716630,Royal W,Tripadvisor,"J’ai passé un excellent moment dans ce lieu. L’accueil était très chaleureux, le personnel attentif et souriant. L’endroit est propre, bien organisé, et on sent une vraie passion dans le service. Chaque détail est soigné, et l’ambiance permet de se sentir à l’aise. Je recommande vivement à ceux qui cherchent une belle expérience, que ce soit en famille, entre amis ou en solo. Un lieu où l’on a envie de revenir !","I had a great time in this place. The welcome was very warm, the staff attentive and smiling. The place is clean, well organized, and we feel a real passion in service. Each detail is neat, and the atmosphere makes you feel comfortable. I highly recommend to those looking for a good experience, whether with family, friends or solo. A place where we want to come back!",10,2025-05-15,Tunisia,Positive,BUSINESS
1007716601,Espace Jeune M,Tripadvisor,"Super hôtel, le personnel est très accueillant et souriant, le buffet et vraiment top. Je vous recommande avec plaisir ce fabuleux hôtel situé à quelques pas de la mer. Le cadre est paradisiaque et très bien entretenu. Le ménage dans les chambres est fais chaque jour, très belle expérience pour ma part.","Super hotel, the staff are very welcoming and smiling, the buffet and really top. I recommend with pleasure this fabulous hotel located a few steps from the sea. The setting is heavenly and very well maintained. The cleaning in the rooms is done every day, very good experience for my part.",10,2025-05-15,Tunisia,Positive,BUSINESS
1007716431,ben abda n,Tripadvisor,"C'est un hôtel parfait 
Tout est au toooooooooop 
Nourriture toooop 
Cadre tooooop 
Chambre toooooop 😍😍😍😍
Le personnel est toujours dispo pour les demandes 
Surtout qu'on était 70 personnes 💪🏻💪🏻👏🏻👏🏻 merci Bizerta resort congress et spa","It's a perfect hotel 
Everything is in Tooooooooop 
Toooop food 
Tooooop frame 
Tooooop room 😍😍😍X
Staff are always available for requests 
Especially that we were 70 people 💪🏻💪🏻👏🏻👏🏻 Thank you Bizerta Resort Congress and Spa",10,2025-05-15,Tunisia,Positive,BUSINESS
999812067,Titi,Tripadvisor,"Je suis extrêmement déçu par le personnel de l’accueil.
J’ai demandé à plusieurs reprises  à être changer de chambre et à chaque fois la même réponse DEMAIN mais rien ne se passe. Et en plus de cela une amabilité plus que limite.
Un hôtel se disant 4 étoiles cela ressemble plutôt un hôtel avec 4  étoiles filantes.
À fuire!!!","I am extremely disappointed with the reception staff.
I have repeatedly asked to change rooms and each time the same answer tomorrow but nothing happens. And in addition to that, more than limited kindness.
A hotel calling for 4 stars is rather like a hotel with 4 shooting stars.
To flee !!!",2,2025-03-25,Tunisia,Neutral,BUSINESS
995421868,Barbara B,Tripadvisor,"Accueil parfait, personnel gentil aux petits soins. J'ai apprécié le grand buffet copieux, avec des spécialités européenne et tunisiennes. Tout le groupe a apprécié la salle de travail avec vue sur mer et la possibilité également de pouvoir rapidement sortir pour discuter voire travailler en petits groupes autour de la piscine ou sur la pelouse. Accès très rapide à la plage depuis l'hôtel, dont nous avons souvent profité.","Perfect welcome, very caring kind staff. I appreciated the large hearty buffet, with European and Tunisian specialties. The whole group appreciated the work room with sea views and the possibility of being able to go out quickly to discuss or even work in small groups around the swimming pool or on the lawn. Very fast access to the beach from the hotel, which we have often taken advantage of.",10,2025-02-25,Tunisia,Positive,BUSINESS
995133419,ben abda o,Tripadvisor,"Great Resort where we keep coming back due to the high service Quality: 

Food is great and the kitchen and service team are highly freindly, fast answering our requests and always provide our needs.
Wifi is covering most of the building and even near the swimming pool with high speed internet.
Two elevators are working perfectly and aways clean as well no malfunction , so perfect.
Rooms are tidy, clean with hot and cold water exist as well high pressure in all times of the day and night, Shampo and body gel is provided every day next to the towels. 

Parking place is free provided and security and safety is ensured day and night. 
Reception team are always available with one or two persons if not three at the same time. 
You can also change your currency with bit lower rate but still really fair. 
The indoor swimming pool have seperated showers, locker rooms and nice place to swimm with the family or collegues as well the small gym they provide. 

Great experiance and for sure to be recommended for future seminars.,","Great Resort where we keep coming back due to the high service Quality: 

Food is great and the kitchen and service team are highly freindly, fast answering our requests and always provide our needs.
Wifi is covering most of the building and even near the swimming pool with high speed internet.
Two elevators are working perfectly and aways clean as well no malfunction , so perfect.
Rooms are tidy, clean with hot and cold water exist as well high pressure in all times of the day and night, Shampo and body gel is provided every day next to the towels. 

Parking place is free provided and security and safety is ensured day and night. 
Reception team are always available with one or two persons if not three at the same time. 
You can also change your currency with bit lower rate but still really fair. 
The indoor swimming pool have seperated showers, locker rooms and nice place to swimm with the family or collegues as well the small gym they provide. 

Great experiance and for sure to be recommended for future seminars.,",10,2025-02-23,Tunisia,Positive,BUSINESS
994942161,Ami M,Tripadvisor,"J'ai passé une semaine de formation à l'hôtel Bizerta resort, nous étions un groupe d'une 50aine de participants, le personnel de l'hôtel était au petit soin avec nous, la restauration était variée et très correcte, les chambres très propres et confortables. Entre plage et piscine, le cadre est agréable. Je recommande cet hôtel pour un séjour de formation ou un teambuiling, les espaces s'y prêtent bien et je remercie vivement tout le personnel de cuisine, de service et d'entretien. L'hôtel est proche du centre ville, du vieux port et des commerces.","I spent a week of training at the Bizerta Resort hotel, we were a group of a 50 -participants, the hotel staff were very careful with us, the catering was varied and very correct, the rooms very clean and comfortable. Between beach and swimming pool, the setting is pleasant. I recommend this hotel for a training stay or a teamwitching, the spaces lend themselves well and I warmly thank all the kitchen, service and maintenance staff. The hotel is close to the city center, old port and shops.",8,2025-02-22,Tunisia,Positive,BUSINESS
994935012,Rafik U,Tripadvisor,Chambre spacieuse et propre. Personnel sympathique et professionnel. Espace agréable et restauration diversifiée et bonne. Je conseille le Bizerta ressort pour un séjour professionnel et personnel. Cadre très agréable avec des espaces de rencontre très adapté.,Spacious and clean room. Friendly and professional staff. Pleasant space and diversified and good catering. I recommend Bizerta comes out for a professional and personal stay. Very pleasant setting with very suitable meeting spaces.,10,2025-02-21,Tunisia,Positive,BUSINESS
994800856,Navigate777083,Tripadvisor,"Amazing accommodation, great reception, a high quality rooms, a good level food. The accommodated all our needs for the full duration. 
The reception team always was at our highest expectations and they made checking in and out seamless and fun. I recommend","Amazing accommodation, great reception, a high quality rooms, a good level food. The accommodated all our needs for the full duration. 
The reception team always was at our highest expectations and they made checking in and out seamless and fun. I recommend",8,2025-02-20,Tunisia,Positive,BUSINESS
994747942,Rani C,Tripadvisor,"Très bon accueil pour un groupe d'une quarantaine de personnes : l'equipe attentionnée, disponible et professionnelle. Les chambres sont spacieuses et propres, la vue est magnifique et tout le monde est aux petits soins. Au restaurant un buffet avec des jolis plats, aux produits frais excellents, avec un service avenant et rapide. Plusieurs salles de travail fonctionnelles et équipées et tout ça dans un cadre verdoyant, à deux pas de la mer. Et beaucoup de facilities en plus : piscines, spa, cafe-bar, même le coiffeur !","Very welcome for a group of around forty people: the attentive, available and professional team. The rooms are spacious and clean, the view is magnificent and everyone is very caring. At the restaurant a buffet with pretty dishes, with excellent fresh products, with a pleasant and fast service. Several functional and equipped work rooms and all this in a green setting, a stone's throw from the sea. And many more facilities: swimming pools, spa, cafe-bar, even the hairdresser!",10,2025-02-20,Tunisia,Positive,BUSINESS
994690058,Maike K,Tripadvisor,"Le Personnel est vraiment sympathique et à l'écoute, repas bons et équilibrés, chambres propres et confortables. Une très bonne expérience à recommander... Ce qui m'a impressionné aussi est le calme. Dormir la fenêtre ouverte sans problème. Merci pour cette belle semaine.","The staff are really nice and attentive, good and balanced meals, clean and comfortable rooms. A very good experience to recommend ... which also impressed me is calm. Sleep the window open without problem. Thank you for this great week.",8,2025-02-20,Tunisia,Positive,BUSINESS
994685475,Jo,Tripadvisor,"Un lieu très comfortable, avec un service excellent. Tout au long de a
notre formation, on nous a accueilli de manière très chaleureuse, apporté des pauses thisane-goûter, le nettoyage des chambres était excellent, tout le personnel est souriant, acceuillant et de bonne humeur. Je recommande ce lieu pour passer un bon moment au bord de la mer et acceuilli de manière très chaleureuse!","A very comfortable place, with excellent service. Throughout A
Our training, we were welcomed in a very warm way, brought this breast breaks, the cleaning of the rooms was excellent, all the staff is smiling, welcoming and in good humor. I recommend this place to have a good time by the sea and welcomed in a very warm way!",10,2025-02-20,Tunisia,Positive,BUSINESS
994685007,Laura P,Tripadvisor,"L'hôtel est très bien équipé et très propre, merci au personnel ! 
Nous avons passé un très bon séjour. La vue est très belle.
Le personnel est très gentil. Nous avons passé un super moment. 
La mer est très proche et cela est agréable. Nous sommes contents du séjour","The hotel is very well equipped and very clean, thank you to the staff! 
We had a very good stay. The view is very beautiful.
The staff are very nice. We had a great time. 
The sea is very close and that is pleasant. We are happy with the stay",10,2025-02-19,Tunisia,Positive,BUSINESS
994683559,Nadira B,Tripadvisor,"Hôtel très agréable personels acceuillant ,hygiene impecable restauration très satisfaisante la plage est accessible les salles.de.travail spacieuses ilny a aussi la.piscine et la.salle de sport pour vous permettre de vous dettendre j'ai fait l'experience de faire un sauna de 50 mn mais je trouvais qu il n'ete pas assez chaud du coup ca permet de rester les 50mn si non ça aurait ete trop","Very pleasant hotel and receiving personsts, hygiene Impeccable restoration very satisfactory The beach is accessible the rooms.de. spacious work Ilny also has the.piscine and the sport to allow you to do you have the experience to make a sauna of 50 minutes but I found that it is not hot enough it allows you to stay too much if not it would have been too much",10,2025-02-19,Tunisia,Positive,BUSINESS
994551015,metahri y,Tripadvisor,"فندق جميل هادئ مناسب للعائلات 
طاقم الفندق ما شاء الله عليهم 
الأكل مناسب و مذاق جميل 
الغرف نظيفة و واسعة 
أنصح به كل من يريد زيارة بنزرت لأنه حقيقة 
 مكان أقل ما يمكن القول عنه فهو رائع
 دمتم متألقين
مزيد من التألق والمواصلة في تقديم خدماتكم الرائعة...","A beautiful quiet hotel suitable for families 
The hotel crew, God willing, to them 
Eating is suitable and beautiful taste 
The rooms are clean and wide 
I advise everyone who wants to visit Bizerte because it is true 
 A place that can be said is wonderful
 Long as you shine
More brilliance and continuing to provide your wonderful services ...",10,2025-02-18,Tunisia,Positive,FRIENDS
994550051,Än Î,Tripadvisor,C'était une expérience agréable en plus les gens de l'hôtel nous ont très bien accueilli je donnerai 5 étoiles merci beaucoup à bizert et tout le personne que j'ais rencontré des tunisiens des marocain et même les français et les allemande .,It was a pleasant experience in addition the people of the hotel welcomed us very well I will give 5 stars thank you very much to Bizert and all the person I have met Tunisians from the Moroccan and even the French and the German.,10,2025-02-18,Tunisia,Positive,BUSINESS
987093327,imed t,Tripadvisor,"Impeccable !!!
Très bon accueil et services au top ( au petit soin ).
La cerise sur le gâteau = la cuisine au top
La piscine est bien chauffée.
Le parking est sécurisé.
Idéale pour été comme hiver.
Le meilleur de bizerte.
Je recommande à 100 %
Bon voyage 😃","Flawless !!!
Very warm welcome and top services (caring).
The icing on the cake = top kitchen
The pool is well heated.
The parking lot is secure.
Ideal for summer and winter.
The best of bizerte.
I recommend 100 %
Good trip 😃",10,2024-12-30,Tunisia,Positive,FAMILY
969342422,Danilo V,Tripadvisor,"Semplicemente VERGOGNOSO. Stanza piena di formiche, lenzuola macchiate gialle, muffa sulle pareti, sporcizia e capelli ovunque. Terrazzino comunicante con i terrazzi delle altre stanze, peccato però che non potevo chiudere il balcone e che chiunque sarebbe potuto entrare e rubare tutto. SCAPPATE!!!!","Simply shameful. Room full of ants, yellow stained sheets, mold on the walls, dirt and hair everywhere. Terrace communicating with the terraces of the other rooms, pity, however, that I could not close the balcony and that anyone could have entered and steal everything. Escape !!!!",2,2024-09-11,Tunisia,Neutral,BUSINESS
968950659,Lassoued Abdel,Tripadvisor,"Pour les asmathiques comme moi, je vous déconseille cet hôtel. Il a la particularité d’avoir de la moquettes dans les chambres et qui plus est n’est pas systématiquement nettoyé. D’autant plus que l’hôtel ne dispose pas de chambres non fumeurs (toutes chambres disposent d’un cendrier)…donc risque d’avoir des odeurs de cigarettes dans certaines d’entre elles. De plus le service n’est pas digne d’un 4* : des verres proposés mais pas de bouteille d’eau ce qui est le minimum requis. Pour réussir à dormir, j’ai du mettre un t-shirt sur l’oreiller tellement qu’il était chargé de poussière. Je vous déconseille cet hôtel pour la vétusté des chambres. Sinon le personnel essaye de faire le nécessaire avec le peu de moyens mis à disposition. Cher pour ce que c’est (110€/nuit en septembre.","For asmathics like me, I do not recommend this hotel. It has the distinction of having carpets in the rooms and what is more systematically cleaned. Especially since the hotel does not have non -smoking rooms (all rooms have an ashtray) ... so may have cigarette odors in some of them. In addition, the service is not worthy of a 4*: glasses offered but no water bottle which is the minimum required. To succeed in sleeping, I had to put a t-shirt on the pillow so much that he was loaded with dust. I do not recommend this hotel for the dilapidation of the rooms. Otherwise the staff try to do the necessary with the few means made available. Expensive for what it is (110 €/night in September.",2,2024-09-09,Tunisia,Neutral,COUPLES
957068460,Francois B,Tripadvisor,"Je vais souvent a Bizerte pour le travail, j ai teste pour la premiere fois l hotel, il est splendide de l exterieur, il me rappelle un palais de Marrakech, le jardin et la piscine tres bien entretenu. J etais avec une chambre au 4eme, au 4 eme les chambres meritent une renovation et j ai pris une chambre renovee au 1er etage, elles sont parfaites, douche a l italienne marbre au sol.
Le personnel est tres sympa a l acceuil , un grand merci a Rim qui connait bien son metier et qui cherche toujours une solution pour les clients. Le petit dejeuner du matin doit être ameliore, le buffet du soir et tres correct.
Je reviendrai avec plaisir sans cet hotel ....et je le conseille c est surement le meilleur de Bizerte, il y aussi le spa pour se detendre le soir apres le travail..","I often go to Bizerte for work, I have tested the hotel for the first time, it is splendid from the outside, it reminds me of a palace of Marrakech, the garden and the very well maintained swimming pool. I was with a room in the 4th century, in the 4th the rooms deserve a renovation and I took a renovated room in the 1st floor, they are perfect, Italian shower marble on the ground.
The staff are very nice in the welcome, a big thank you to Rim who knows his job well and who is always looking for a solution for customers. The morning breakfast must be Ameliore, the evening buffet and very correct.
I will come back with pleasure without this hotel .... and I recommend it is surely the best of bizerte, there is also the spa to relax in the evening after work.",10,2024-06-28,Tunisia,Positive,BUSINESS
946587938,Zbaida G,Tripadvisor,"Très mauvais moment passé  dans le restaurant nourriture infect de très mauvaise qualité qu’on ne peux même pas donner aux animaux la honte 
On y sert même des pâtes au salami Sky jamais vu 
Je déconseille vivement a tout le monde de ne pas y aller vous p","Very bad time spent in the very poor quality infective food restaurant that animals are not even shame 
We even serve pasta at Salami Sky never seen 
I strongly advise against everyone not to go there",2,2024-04-13,Tunisia,Negative,FAMILY
930057693,SANDRA,Tripadvisor,"A horrible hotel with horrible non-existent services. I strongly advise you not to go there, to sleep and eat in any case!!! The staff is not friendly
Fast food is very very basic
Aside from the location, whether it is the welcome, the service or the quality/price ratio, everything needs to be reviewed...","A horrible hotel with horrible non-existent services. I strongly advise you not to go there, to sleep and eat in any case!!! The staff is not friendly
Fast food is very very basic
Aside from the location, whether it is the welcome, the service or the quality/price ratio, everything needs to be reviewed...",2,2023-12-17,Tunisia,Neutral,BUSINESS
907621421,Mike Heywood,Tripadvisor,"Great hotel on the beach, and easy walking distance to medina. Staff excellent, and rooms of a  very good standard. Breakfast good, but no toasting machine or tea. Pool bar and restaurant very good but closes way too early around 5, which only leaves the bar for a drink, which is very dated, and the most uncomfortable chairs, I have ever experienced, although bar staff very friendly and helpful. Rooms cleaned to a high standard, and can recommend the sea view ones, excellent. Shoe shine machines on each floor, but non have any polish in them, just the Rotating brushes. Bathrooms to a high standard, but no plugs in the sink, so not ideal. Air conditioning not very cold. Overall a very good experience, and the beach is superb.","Great hotel on the beach, and easy walking distance to medina. Staff excellent, and rooms of a  very good standard. Breakfast good, but no toasting machine or tea. Pool bar and restaurant very good but closes way too early around 5, which only leaves the bar for a drink, which is very dated, and the most uncomfortable chairs, I have ever experienced, although bar staff very friendly and helpful. Rooms cleaned to a high standard, and can recommend the sea view ones, excellent. Shoe shine machines on each floor, but non have any polish in them, just the Rotating brushes. Bathrooms to a high standard, but no plugs in the sink, so not ideal. Air conditioning not very cold. Overall a very good experience, and the beach is superb.",8,2023-08-03,Tunisia,Positive,BUSINESS
900942881,Nadia S,Tripadvisor,"Bonjour, cet hôtel ne mérite absolument pas les 4 étoiles. Hôtel très vieux. La propreté des chambres laisse à désirer. Le linge du lit n a pas été changé. Cadavre d un oiseau dans la terrasse qui date apparemment depuis un long moment. Notre agence de réservation a du sonner à la réception pour qu on puisse changer de chambre. Notre opinion est restée la même.  
En ce qui concerne le personnel de la réception, à part écouter nos plaintes, aucun effort, aucune excuse  ou compensation de leur part. Nous avons été très déçus. Nous ne conseillerons jamais cet hôtel. A fuir!","Hello, this hotel absolutely does not deserve 4 stars. Very old hotel. The cleanliness of the rooms leaves something to be desired. The bed linen has not been changed. Corpse of a bird in the terrace that has apparently dated for a long time. Our booking agency had to ring at the reception so that we can change rooms. Our opinion remained the same.  
With regard to reception staff, apart from listening to our complaints, no effort, no excuse or compensation from them. We were very disappointed. We will never advise this hotel. To flee!",2,2023-07-06,Tunisia,Neutral,COUPLES
870876030,Pierre-Luc,Tripadvisor,"Repas bons et variés, la suite est d'une bonne grandeur et la vue est superbe. Personnel accueillant ! La dernière journée nous devions partir plus tôt pour l'aéroport et ils ont eu la grande amabilité d'ouvrir la cuisine plus tôt pour nous permettre de déjeuner avant de quitter","Good and varied meals, the rest is good and the view is superb. Welcoming staff! The last day we had to leave earlier for the airport and they had the great kindness of opening the kitchen earlier to allow us to have lunch before leaving",10,2022-12-06,Tunisia,Positive,BUSINESS
870835433,Cathe H,Tripadvisor,"À tous les jours, nous avions droit à un excellent buffet autant le matin que le soir, le personnel était courtois et accommodant en tout temps, les sont espaces propres, tout ça avec une vue superbe sur la mer.","Every day, we were entitled to an excellent buffet as much in the morning as in the evening, the staff was courteous and accommodating at all times, are the clean spaces, all with a superb view of the sea.",8,2022-12-06,Tunisia,Positive,BUSINESS
870772492,k st-gelais,Tripadvisor,"Hôtel très propre et personnel très attentionné, de belles attentions personnalisé a tout les jours.  Ils sont a l'écoute de nos besoin et voit a ce que nous manquions de rien.  Superbe vue sur l'océan !","Very clean and very attentive personal hotel, beautiful personalized attentions has every day.  They are listening to our needs and sees what we lack for nothing.  Superb view of the ocean!",8,2022-12-05,Tunisia,Positive,BUSINESS
870757035,stephane b,Tripadvisor,"Belle semaine passé a cet hôtel, Le gens sont aimable.
J'aime bien le concept de buffet. 
Bien situer sur le bord de la mer.
superbe vue. près de tout les service.
parfait pour les voyages d'affaire et les vacances .","A nice week spent at this hotel, the people are kind.
I like the concept of buffet. 
Locate well on the seaside.
Superb view. near all service.
Perfect for business trips and holidays.",8,2022-12-05,Tunisia,Positive,BUSINESS
