Year,chart_type,country,followers
2022,bar,Algérie,4483
2022,bar,Allemagne,4483
2022,bar,Arabie Saoudite,4483
2022,bar,Canada,4483
2022,bar,France,4483
2022,bar,Italie,4483
2022,bar,Libye,4483
2022,bar,Qatar,4483
2022,bar,Tunisie,4483
2022,bar,Émirats arabes unis,4483
2023,bar,Algérie,3926
2023,bar,Allemagne,3926
2023,bar,Arabie Saoudite,3926
2023,bar,Canada,3926
2023,bar,France,3926
2023,bar,Italie,3926
2023,bar,Libye,3926
2023,bar,Qatar,3926
2023,bar,Tunisie,3926
2023,bar,Émirats arabes unis,3926
2024,bar,Algérie,3944
2024,bar,Allemagne,3944
2024,bar,Arabie Saoudite,3944
2024,bar,Canada,3944
2024,bar,France,3944
2024,bar,Italie,3944
2024,bar,Libye,3944
2024,bar,Qatar,3944
2024,bar,Tunisie,3944
2024,bar,Émirats arabes unis,3944
2025,bar,Algérie,588
2025,bar,Allemagne,588
2025,bar,Arabie Saoudite,588
2025,bar,Canada,588
2025,bar,France,588
2025,bar,Italie,588
2025,bar,Libye,588
2025,bar,Qatar,588
2025,bar,Tunisie,588
2025,bar,Émirats arabes unis,588
