Year,chart_type,gender,age_range,followers
2022,bar,Female,18-24,3490
2022,bar,Female,25-34,5130
2022,bar,Female,35-44,4590
2022,bar,Female,45-54,3620
2022,bar,Female,55-64,3360
2022,bar,Female,65+,3360
2022,bar,Male,18-24,3360
2022,bar,Male,25-34,3780
2022,bar,Male,35-44,3930
2022,bar,Male,45-54,3490
2022,bar,Male,55-64,3360
2022,bar,Male,65+,3360
2023,bar,Female,18-24,3270
2023,bar,Female,25-34,3290
2023,bar,Female,35-44,3270
2023,bar,Female,45-54,3270
2023,bar,Female,55-64,3270
2023,bar,Female,65+,3270
2023,bar,Male,18-24,3270
2023,bar,Male,25-34,3270
2023,bar,Male,35-44,3270
2023,bar,Male,45-54,3270
2023,bar,Male,55-64,3270
2023,bar,Male,65+,3270
2024,bar,Female,18-24,3280
2024,bar,Female,25-34,3330
2024,bar,Female,35-44,3300
2024,bar,Female,45-54,3280
2024,bar,Female,55-64,3280
2024,bar,Female,65+,3280
2024,bar,Male,18-24,3280
2024,bar,Male,25-34,3280
2024,bar,Male,35-44,3290
2024,bar,Male,45-54,3280
2024,bar,Male,55-64,3280
2024,bar,Male,65+,3280
2025,bar,Female,18-24,490
2025,bar,Female,25-34,490
2025,bar,Female,35-44,490
2025,bar,Female,45-54,490
2025,bar,Female,55-64,490
2025,bar,Female,65+,490
2025,bar,Male,18-24,490
2025,bar,Male,25-34,490
2025,bar,Male,35-44,490
2025,bar,Male,45-54,490
2025,bar,Male,55-64,490
2025,bar,Male,65+,490
