Year,chart_type,content_type,interactions
2022,bar,Links,329
2022,bar,Multi media,329
2022,bar,Multi photo,329
2022,bar,Others,329
2022,bar,Photos,329
2022,bar,Reels,329
2022,bar,Stories,329
2022,bar,Text,329
2022,bar,Videos,329
2023,bar,Links,327
2023,bar,Multi media,327
2023,bar,Multi photo,327
2023,bar,Others,327
2023,bar,Photos,327
2023,bar,Reels,327
2023,bar,Stories,327
2023,bar,Text,327
2023,bar,Videos,327
2024,bar,Links,328
2024,bar,Multi media,328
2024,bar,Multi photo,328
2024,bar,Others,328
2024,bar,Photos,328
2024,bar,Reels,328
2024,bar,Stories,328
2024,bar,Text,328
2024,bar,Videos,328
2025,bar,Links,49
2025,bar,Multi media,49
2025,bar,Multi photo,49
2025,bar,Others,49
2025,bar,Photos,49
2025,bar,Reels,49
2025,bar,Stories,49
2025,bar,Text,49
2025,bar,Videos,49
