Year,chart_type,KPI,Value,Margin (%),Margin (Abs)
2022,summary_card,visits,708,0.0,0.0
2023,summary_card,visits,33609,4647.03,32901.0
2024,summary_card,visits,37485,11.53,3876.0
2025,summary_card,visits,884,-97.64,-36601.0
2022,summary_card,views,708,0.0,0.0
2023,summary_card,views,864,22.03,156.0
2024,summary_card,views,339826,39231.71,338962.0
2025,summary_card,views,7254,-97.87,-332572.0
2022,summary_card,link_clicks,708,0.0,0.0
2023,summary_card,link_clicks,864,22.03,156.0
2024,summary_card,link_clicks,864,0.0,0.0
2025,summary_card,link_clicks,54,-93.75,-810.0
2022,summary_card,interactions,708,0.0,0.0
2023,summary_card,interactions,7094,901.98,6386.0
2024,summary_card,interactions,4183,-41.03,-2911.0
2025,summary_card,interactions,133,-96.82,-4050.0
2022,summary_card,reach,708,0.0,0.0
2023,summary_card,reach,334243,47109.46,333535.0
2024,summary_card,reach,215583,-35.5,-118660.0
2025,summary_card,reach,3446,-98.4,-212137.0
