Year,chart_type,platform,Review Count
2008,summary_card,Tripadvisor,1
2009,summary_card,Tripadvisor,2
2010,summary_card,Tripadvisor,3
2011,summary_card,Tripadvisor,5
2012,summary_card,Tripadvisor,10
2013,summary_card,Tripadvisor,5
2014,summary_card,Tripadvisor,13
2015,summary_card,Tripadvisor,13
2016,summary_card,Tripadvisor,12
2017,summary_card,Tripadvisor,15
2018,summary_card,Tripadvisor,6
2019,summary_card,Google,57
2020,summary_card,Google,13
2021,summary_card,Google,20
2022,summary_card,Google,46
2023,summary_card,Google,42
2024,summary_card,Booking,80
2025,summary_card,Google,21
