Year,chart_type,country,Review Count
2008,bar,Tunisia,1
2009,bar,Tunisia,2
2010,bar,Tunisia,3
2011,bar,Tunisia,5
2012,bar,Tunisia,10
2013,bar,Tunisia,5
2014,bar,Tunisia,13
2015,bar,Tunisia,13
2016,bar,Tunisia,12
2017,bar,Tunisia,15
2018,bar,TN,2
2018,bar,Tunisia,6
2019,bar,TN,57
2019,bar,Tunisia,12
2020,bar,TN,13
2020,bar,Tunisia,5
2021,bar,TN,20
2021,bar,Tunisia,2
2022,bar,Egypt,1
2022,bar,France,6
2022,bar,TN,46
2022,bar,Tunisia,17
2022,bar,Ukraine,1
2022,bar,United Kingdom,1
2022,bar,Unknown,1
2023,bar,TN,42
2023,bar,Tunisia,3
2024,bar,Algeria,1
2024,bar,Australia,1
2024,bar,Belgium,1
2024,bar,Canada,3
2024,bar,Egypt,1
2024,bar,France,31
2024,bar,Germany,4
2024,bar,Greece,1
2024,bar,Indonesia,1
2024,bar,Ireland,1
2024,bar,Italy,8
2024,bar,Lebanon,1
2024,bar,Libya,1
2024,bar,Morocco,1
2024,bar,Netherlands,1
2024,bar,Norway,1
2024,bar,Portugal,1
2024,bar,Romania,1
2024,bar,Saudi Arabia,3
2024,bar,Slovakia,1
2024,bar,Spain,2
2024,bar,TN,53
2024,bar,Tunisia,13
2024,bar,United Kingdom,5
2024,bar,United States,1
2025,bar,France,3
2025,bar,Germany,3
2025,bar,Israel,1
2025,bar,Italy,1
2025,bar,Libya,1
2025,bar,Poland,1
2025,bar,TN,21
2025,bar,Tunisia,18
2025,bar,United Kingdom,1
