Year,chart_type,stay_type,Review Count
2008,bar,NONE,1
2009,bar,COUPLES,1
2009,bar,FAMILY,1
2010,bar,BUSINESS,2
2010,bar,FAMILY,1
2011,bar,BUSINESS,2
2011,bar,COUPLES,2
2011,bar,NONE,1
2012,bar,BUSINESS,1
2012,bar,COUPLES,2
2012,bar,FAMILY,6
2012,bar,FRIENDS,1
2013,bar,BUSINESS,2
2013,bar,COUPLES,1
2013,bar,NONE,2
2014,bar,BUSINESS,8
2014,bar,COUPLES,1
2014,bar,FAMILY,1
2014,bar,NONE,3
2015,bar,BUSINESS,6
2015,bar,COUPLES,1
2015,bar,FAMILY,5
2015,bar,FRIENDS,1
2016,bar,BUSINESS,6
2016,bar,COUPLES,1
2016,bar,FAMILY,3
2016,bar,FRIENDS,1
2016,bar,NONE,1
2017,bar,BUSINESS,10
2017,bar,COUPLES,3
2017,bar,FAMILY,2
2018,bar,BUSINESS,2
2018,bar,FAMILY,2
2018,bar,FRIENDS,2
2018,bar,Unknown,2
2019,bar,BUSINESS,2
2019,bar,COUPLES,5
2019,bar,FAMILY,2
2019,bar,FRIENDS,1
2019,bar,NONE,1
2019,bar,SOLO,1
2019,bar,Unknown,57
2020,bar,BUSINESS,2
2020,bar,FAMILY,2
2020,bar,FRIENDS,1
2020,bar,Unknown,12
2020,bar,Vacation,1
2021,bar,COUPLES,1
2021,bar,FAMILY,1
2021,bar,Unknown,19
2021,bar,Vacation,1
2022,bar,BUSINESS,7
2022,bar,Business,3
2022,bar,COUPLES,3
2022,bar,Couple,8
2022,bar,FAMILY,1
2022,bar,FRIENDS,1
2022,bar,Family,4
2022,bar,Group,1
2022,bar,NONE,1
2022,bar,Solo traveler,1
2022,bar,Unknown,32
2022,bar,Vacation,11
2023,bar,BUSINESS,2
2023,bar,Business,8
2023,bar,COUPLES,1
2023,bar,Unknown,25
2023,bar,Vacation,9
2024,bar,BUSINESS,2
2024,bar,Business,10
2024,bar,COUPLES,1
2024,bar,Couple,32
2024,bar,FAMILY,2
2024,bar,Family,21
2024,bar,Group,9
2024,bar,Solo traveler,18
2024,bar,Unknown,25
2024,bar,Vacation,18
2025,bar,BUSINESS,15
2025,bar,Business,9
2025,bar,COUPLES,1
2025,bar,Couple,3
2025,bar,FRIENDS,2
2025,bar,Family,3
2025,bar,Group,1
2025,bar,Solo traveler,4
2025,bar,Unknown,10
2025,bar,Vacation,2
