month,chart_type,normalized_rating
2008-01,line,8.0
2009-08,line,8.0
2009-09,line,4.0
2010-01,line,8.0
2010-03,line,6.0
2010-07,line,6.0
2011-01,line,2.0
2011-04,line,4.0
2011-11,line,6.0
2012-04,line,9.0
2012-07,line,8.0
2012-08,line,9.0
2012-09,line,6.0
2012-10,line,10.0
2012-11,line,8.0
2013-01,line,6.0
2013-07,line,8.0
2013-08,line,6.0
2013-12,line,6.0
2014-01,line,6.0
2014-02,line,4.0
2014-04,line,8.0
2014-05,line,8.0
2014-06,line,6.0
2014-07,line,6.5
2014-09,line,6.0
2014-10,line,3.0
2015-01,line,8.0
2015-02,line,6.0
2015-03,line,7.0
2015-05,line,8.0
2015-06,line,8.0
2015-07,line,8.0
2015-08,line,4.0
2015-09,line,7.0
2016-05,line,7.33
2016-07,line,8.0
2016-08,line,8.67
2016-09,line,6.0
2016-10,line,7.0
2016-11,line,10.0
2016-12,line,6.0
2017-03,line,6.0
2017-04,line,8.0
2017-07,line,3.5
2017-08,line,3.33
2017-11,line,8.0
2017-12,line,6.0
2018-03,line,6.0
2018-07,line,6.5
2018-11,line,5.33
2019-01,line,5.0
2019-02,line,5.17
2019-03,line,5.14
2019-04,line,4.75
2019-05,line,5.33
2019-06,line,5.0
2019-07,line,6.33
2019-08,line,4.82
2019-09,line,5.0
2019-10,line,6.5
2019-11,line,5.0
2019-12,line,5.43
2020-01,line,7.67
2020-02,line,7.0
2020-03,line,5.0
2020-06,line,5.0
2020-08,line,6.0
2020-09,line,5.0
2020-11,line,5.0
2020-12,line,5.0
2021-01,line,5.0
2021-02,line,5.0
2021-03,line,6.5
2021-06,line,5.0
2021-07,line,5.0
2021-08,line,5.0
2021-09,line,5.0
2021-10,line,5.0
2021-11,line,5.0
2021-12,line,7.5
2022-01,line,5.0
2022-03,line,5.0
2022-04,line,5.0
2022-05,line,5.0
2022-06,line,5.0
2022-07,line,6.11
2022-08,line,5.45
2022-09,line,6.17
2022-10,line,5.25
2022-11,line,6.75
2022-12,line,8.0
2023-02,line,5.0
2023-03,line,5.0
2023-04,line,5.0
2023-05,line,5.0
2023-06,line,5.0
2023-07,line,4.75
2023-08,line,5.33
2023-09,line,5.0
2023-10,line,5.0
2023-12,line,3.5
2024-01,line,5.57
2024-02,line,6.0
2024-03,line,5.5
2024-04,line,6.06
2024-05,line,7.0
2024-06,line,6.8
2024-07,line,5.88
2024-08,line,7.25
2024-09,line,5.35
2024-10,line,7.0
2024-11,line,6.0
2024-12,line,6.0
2025-01,line,5.71
2025-02,line,7.78
2025-03,line,5.8
2025-04,line,5.29
2025-05,line,7.5
2025-06,line,6.33
2025-07,line,5.0
