Year,chart_type,country,Review Count
2008,summary_card,Tunisia,1
2009,summary_card,Tunisia,2
2010,summary_card,Tunisia,3
2011,summary_card,Tunisia,5
2012,summary_card,Tunisia,10
2013,summary_card,Tunisia,5
2014,summary_card,Tunisia,13
2015,summary_card,Tunisia,13
2016,summary_card,Tunisia,12
2017,summary_card,Tunisia,15
2018,summary_card,Tunisia,6
2019,summary_card,TN,57
2020,summary_card,TN,13
2021,summary_card,TN,20
2022,summary_card,TN,46
2023,summary_card,TN,42
2024,summary_card,TN,53
2025,summary_card,TN,21
